time_label,time_x,threshold,median,lo,hi
1900,1899.9583333333333,0.0,0.9916359982821424,0.9791178327277859,0.9963719929776185
1900,1899.9583333333333,-1.0,0.953584918768246,0.9133727197169353,0.9739810676089431
1900,1899.9583333333333,-2.0,0.8529948314701323,0.7768339922179537,0.9004642051851622
1900,1899.9583333333333,-3.0,0.687238534800378,0.5891351184614867,0.7586941547650362
1900,1899.9583333333333,-4.0,0.49391175539110177,0.3991368840960299,0.572293755223358
1900,1899.9583333333333,-5.0,0.31858221374269513,0.24306508851445077,0.38645884458245683
1950,1949.9583333333333,0.0,0.9603228588901218,0.9202314507737742,0.9787482271061085
1950,1949.9583333333333,-1.0,0.8676103359224059,0.7883103482501594,0.913606021598873
1950,1949.9583333333333,-2.0,0.7077039949973488,0.6034126857178711,0.7798641437013487
1950,1949.9583333333333,-3.0,0.5147484901651149,0.41156740961812815,0.5959329478948011
1950,1949.9583333333333,-4.0,0.3358658494175373,0.2526529634263271,0.4079727489152233
1950,1949.9583333333333,-5.0,0.19855997068341436,0.14113995229753404,0.25240383263024474
2020,2019.9583333333333,0.0,0.7705716681459548,0.6898999526663666,0.8410940513798453
2020,2019.9583333333333,-1.0,0.5840202400556188,0.49552861817735194,0.6727664427643069
2020,2019.9583333333333,-2.0,0.395738100130033,0.31848235889819426,0.48032143595329346
2020,2019.9583333333333,-3.0,0.2419245677465321,0.18511654802561173,0.30818074815050095
2020,2019.9583333333333,-4.0,0.13502889859380335,0.09830460215414966,0.1808065609320804
2020,2019.9583333333333,-5.0,0.06917539988843215,0.047566362969094875,0.0976730233074934
