parameter,lower,median,upper
alpha0,10.165743858602625,10.728275065821844,11.119752509638616
s_level,-0.029717139639720246,0.001492864808817766,0.02780760431400948
q_level,8.600901876367427e-07,8.706909501630033e-05,0.0013348734558343565
sigma,2.2359661713514853,2.3594673150893266,2.4964576216766092
sigma2,4.99954471942822,5.567086016093597,6.232300656827232
xi,-0.3476191060064041,-0.2929766572686653,-0.2682826276382468
beta0,-0.004957122879266745,-0.001202899171184197,0.0026949170572982185
s_trend,-0.00023791632173933254,-5.589611482814292e-05,0.00023379188822015572
q_trend,1.1633262640438726e-09,1.4449314671742554e-08,8.065252499263067e-08
s_season,-0.02012393060671778,-0.0011273113362533943,0.023768175356304738
q_season,2.830257189849846e-07,3.3750081593899044e-05,0.0006976935780959304
lambda2_level,0.47521324387076835,1.732047814790344,4.843662309486389
lambda2_trend,0.4588311320944939,1.5966841814790627,4.561284519844714
lambda2_season,0.5045213742991842,1.724944547148621,5.0898698248024274
tau_level,0.04237680019571906,0.4965969336010546,3.6406774271271547
tau_trend,0.09609884266101008,0.788572834015549,4.011496757450037
tau_season,0.02732683888721715,0.3746508621169663,3.0738389577531793
