parameter,lower,median,upper
alpha0,-0.7485765446935927,-0.19015784814824896,0.47619767812328245
s_level,-0.02298085905678971,4.715582200253972e-05,0.023542992921407293
q_level,6.214468416600942e-07,8.30421233176651e-05,0.0007913579020513732
sigma,2.732331664615221,2.870174305034101,3.0082689919842687
sigma2,7.465636325492698,8.237900541277986,9.049682330370663
xi,-0.19603337688974415,-0.17016659019777178,-0.14260577308214203
beta0,-0.0024060636585938725,0.001338458676242898,0.005573813277015711
s_trend,-0.0001392399137890398,1.9021353645259066e-06,0.00013955754773481178
q_trend,1.7278258295506431e-10,3.5016633050384703e-09,2.8753864277678967e-08
s_season,-0.016883212324368322,-6.666726584338752e-05,0.017173058282190956
q_season,2.440750028834525e-07,3.73792114886377e-05,0.0004196188132894302
lambda2_level,0.46567656544137315,1.924740953762773,5.110476553935926
lambda2_trend,0.4680572860400622,1.9095750451436726,5.108550441362042
lambda2_season,0.5013741083996565,2.003575483074722,5.237256447351585
tau_level,0.03177112194403753,0.5017146698756116,3.745688101070443
tau_trend,0.043092687581010404,0.4949273755190131,3.8921180639799013
tau_season,0.022353837228017637,0.4195697884527503,3.3540315499506006
