date,time,y,eta,level,slope,seasonal
1961-01-01,1,21.333547201274207,18.017758320004493,25.01794530577381,0.0,-7.000186985769318
1961-02-01,2,19.97621806690717,18.89337278482579,24.983425737920996,0.0,-6.0900529530952054
1961-03-01,3,23.701497695351765,21.636330776777775,25.023565065942012,0.0,-3.387234289164238
1961-04-01,4,24.948325550168665,24.872485929826123,24.925294594112344,0.0,-0.052808664286220816
1961-05-01,5,29.214490245478668,28.331673323216318,24.87814183392536,0.0,3.4535314892909605
1961-06-01,6,32.181510248767246,30.997780077668537,24.953111648810307,0.0,6.04466842885823
1961-07-01,7,29.91936966352825,32.0823906153119,25.065217941888513,0.0,7.017172673423388
1961-08-01,8,31.56001041907522,31.17133823209377,25.088911111155042,0.0,6.082427120938728
1961-09-01,9,29.274088432405424,28.48983364928321,25.028226649538595,0.0,3.461606999744615
1961-10-01,10,26.30975656082711,25.21350937838336,25.15012218468832,0.0,0.06338719369504
1961-11-01,11,22.182177707467652,21.598772219518708,25.108148978936104,0.0,-3.5093767594173952
1961-12-01,12,19.555421304686632,19.055200756863325,25.103289033861937,0.0,-6.048088276998612
1962-01-01,13,18.770576875231708,18.130682524339075,25.14493230258441,0.0,-7.014249778245335
1962-02-01,14,20.041562536210442,19.148159528906636,25.254416079839288,0.0,-6.106256550932653
1962-03-01,15,21.591972192245652,21.86692781703739,25.283309229680242,0.0,-3.416381412642852
1962-04-01,16,25.66894752811199,25.33184293788769,25.36294362634955,0.0,-0.031100688461860475
1962-05-01,17,29.175723941765078,28.850247605371756,25.35877799942663,0.0,3.4914696059451282
1962-06-01,18,28.99686240555303,31.347097802510184,25.350099280548488,0.0,5.996998521961696
1962-07-01,19,32.29764423954622,32.502741545189735,25.443554326595034,0.0,7.059187218594699
1962-08-01,20,31.064930208282874,31.529363144087913,25.472728076017994,0.0,6.056635068069919
1962-09-01,21,33.33773669218262,28.971575688575957,25.461253695281243,0.0,3.5103219932947147
1962-10-01,22,28.98060403353062,25.447725822096633,25.44288517974512,0.0,0.0048406423515133246
1962-11-01,23,22.414191527908283,21.872660785820642,25.35985685678906,0.0,-3.4871960709684178
1962-12-01,24,18.346488787492465,19.169768431063055,25.242370118390603,0.0,-6.07260168732755
1963-01-01,25,16.95243073677681,18.10337598464435,25.147573221789525,0.0,-7.044197237145173
1963-02-01,26,19.265972880739533,19.14893538591089,25.153376886782894,0.0,-6.004441500872004
1963-03-01,27,21.692448602862154,21.675077288704074,25.183781669643015,0.0,-3.508704380938941
1963-04-01,28,25.70297139387078,25.16904928429456,25.111729292117715,0.0,0.05731999217684328
1963-05-01,29,29.4003412185763,28.540419354621967,25.064538026187705,0.0,3.4758813284342613
1963-06-01,30,29.479245272898364,31.036701938130808,25.022258198613738,0.0,6.01444373951707
1963-07-01,31,32.36728044087512,32.08847675629467,25.08198469858546,0.0,7.006492057709206
1963-08-01,32,30.33196945984791,31.093387598381486,25.084512081567983,0.0,6.008875516813505
1963-09-01,33,32.405321722689116,28.612164079991143,25.041303788034433,0.0,3.5708602919567087
1963-10-01,34,27.40144916550144,25.033904418291883,25.053908631053645,0.0,-0.020004212761763743
1963-11-01,35,22.814628437259902,21.634742214055585,25.094203155445303,0.0,-3.45946094138972
1963-12-01,36,16.70221861459332,19.02975017454934,25.091465636666864,0.0,-6.061715462117526
1964-01-01,37,18.890989474554733,17.960073272035903,25.044370777053846,0.0,-7.084297505017944
1964-02-01,38,18.112470681456497,19.065012367496326,25.04911187343982,0.0,-5.984099505943493
1964-03-01,39,20.81890077505276,21.415222115443893,24.963790602405105,0.0,-3.5485684869612126
1964-04-01,40,23.926097025992817,24.970126522310462,24.89506785759589,0.0,0.07505866471457208
1964-05-01,41,28.271151442525035,28.379483616543993,24.931260432574042,0.0,3.448223183969949
1964-06-01,42,29.781036725155904,31.01223106579813,24.965371824406358,0.0,6.046859241391773
1964-07-01,43,30.27735246406193,31.93964875978596,24.92545536434893,0.0,7.01419339543703
1964-08-01,44,31.64399974807036,30.857648868922418,24.867866817678056,0.0,5.989782051244361
1964-09-01,45,29.403787023645226,28.373097513266643,24.835625090448747,0.0,3.537472422817895
1964-10-01,46,22.87614787462462,25.043452516194872,24.98101923954546,0.0,0.06243327664941181
1964-11-01,47,22.785972098181762,21.537737915684648,25.002788440126782,0.0,-3.4650505244421343
1964-12-01,48,17.75404798165235,19.02911120848301,25.111591515552448,0.0,-6.082480307069438
1965-01-01,49,20.301682780825054,18.099675031912874,25.19432187574711,0.0,-7.094646843834236
1965-02-01,50,21.225726466435653,19.192842862861443,25.15515037916709,0.0,-5.962307516305646
1965-03-01,51,21.54559004059198,21.719580609650226,25.295430374157593,0.0,-3.575849764507366
1965-04-01,52,25.68575613423887,25.42266950479125,25.30454316868396,0.0,0.1181263361072899
1965-05-01,53,26.684866754681035,28.756781928026076,25.32962656324312,0.0,3.4271553647829553
1965-06-01,54,29.68167143927975,31.383256401459175,25.306747095021894,0.0,6.07650930643728
1965-07-01,55,30.73638181686808,32.169444095877324,25.22228989558645,0.0,6.947154200290873
1965-08-01,56,30.588813683270278,31.242198820926532,25.194247232848003,0.0,6.04795158807853
1965-09-01,57,31.769790311034615,28.756088744365123,25.219690798494906,0.0,3.536397945870216
1965-10-01,58,26.482087013180724,25.165878748124847,25.089842198510507,0.0,0.07603654961434107
1965-11-01,59,21.880594391564582,21.566204780044608,25.08192994987875,0.0,-3.5157251698341403
1965-12-01,60,19.415999166026275,18.84568022307055,24.92556891828291,0.0,-6.07988869521236
1966-01-01,61,18.687492696444153,17.81306410591822,24.933816939075648,0.0,-7.12075283315743
1966-02-01,62,22.888601568547436,18.940210782572017,24.892943249605768,0.0,-5.95273246703375
1966-03-01,63,22.54447415617736,21.402766522093525,24.931702439886774,0.0,-3.5289359177932496
1966-04-01,64,25.443581285293007,24.990500530732465,24.882828515617163,0.0,0.10767201511530022
1966-05-01,65,28.694002481825873,28.289985468940763,24.861907182122003,0.0,3.4280782868187605
1966-06-01,66,33.16475067361308,30.920299723101653,24.892168809346785,0.0,6.028130913754867
1966-07-01,67,31.79658094476078,31.87497404237021,24.860514369851398,0.0,7.014459672518812
1966-08-01,68,32.532060962291546,30.983075762632282,24.971540637975455,0.0,6.011535124656829
1966-09-01,69,29.69977283763076,28.4732628536875,24.920962857767456,0.0,3.552299995920044
