series,parameter,split_rhat
TXm,alpha0,1.0004747605449837
TXm,s_level,0.9999635137193396
TXm,q_level,1.0012109874359223
TXm,sigma,0.9999642741515901
TXm,sigma2,0.9999648570308531
TXm,beta0,1.0045506105183966
TXm,s_trend,1.0001351175357862
TXm,q_trend,1.0001496498071378
TXm,s_season,0.9998565552293817
TXm,q_season,0.9999695414867092
TXm,lambda2_level,1.0003744813023565
TXm,lambda2_trend,0.9999255495388971
TXm,lambda2_season,1.000227240701931
TXm,tau_level,1.0002327361086694
TXm,tau_trend,1.0005402193304602
TXm,tau_season,1.0001198714789659
TNm,alpha0,1.000842698839319
TNm,s_level,0.9999483281071209
TNm,q_level,1.0004282765714068
TNm,sigma,1.0000659809302732
TNm,sigma2,1.0000543724179716
TNm,beta0,1.003140787980588
TNm,s_trend,0.9998662756317462
TNm,q_trend,1.000461643871008
TNm,s_season,0.9999686119062012
TNm,q_season,1.0002139001743535
TNm,lambda2_level,1.0005577036992759
TNm,lambda2_trend,1.0000044639180197
TNm,lambda2_season,1.000143645687269
TNm,tau_level,1.0004308340747186
TNm,tau_trend,1.000281654896877
TNm,tau_season,1.0001895292859024
TXx,alpha0,1.0014459440710384
TXx,s_level,1.0002262015826608
TXx,q_level,1.0010857429617128
TXx,sigma,1.0010419277931322
TXx,sigma2,1.0010915820511386
TXx,xi,1.0015759102111492
TXx,beta0,1.007775210496246
TXx,s_trend,1.0000651884747735
TXx,q_trend,1.0028869268185026
TXx,s_season,1.0000076528163322
TXx,q_season,1.000632335151353
TXx,lambda2_level,1.0000063487554058
TXx,lambda2_trend,1.0005203622629364
TXx,lambda2_season,0.9999513371471949
TXx,tau_level,1.0002956135629137
TXx,tau_trend,1.0004155447663374
TXx,tau_season,0.9999523665871862
TXn,alpha0,1.0008506341437922
TXn,s_level,0.9999272485254104
TXn,q_level,1.0007475421188006
TXn,sigma,1.001774892703
TXn,sigma2,1.0018168901041904
TXn,xi,1.0034257795679777
TXn,beta0,1.0005776281114178
TXn,s_trend,0.999887618339782
TXn,q_trend,1.0004056263757046
TXn,s_season,1.0001235461044677
TXn,q_season,0.9999018437260787
TXn,lambda2_level,1.000138818104788
TXn,lambda2_trend,1.0002021267277872
TXn,lambda2_season,1.000167694946689
TXn,tau_level,0.9999947648524324
TXn,tau_trend,1.0002387234266445
TXn,tau_season,1.000117415661065
TNx,alpha0,1.0056753584889557
TNx,s_level,1.002044973064794
TNx,q_level,1.0073321952994836
TNx,sigma,1.0057332024470576
TNx,sigma2,1.0056043826495107
TNx,xi,1.0328321995964405
TNx,beta0,1.0085136727682773
TNx,s_trend,1.0015788235972174
TNx,q_trend,1.003130134208328
TNx,s_season,1.000692257132929
TNx,q_season,1.0099898336518
TNx,lambda2_level,1.0003605184063513
TNx,lambda2_trend,1.0001733836643447
TNx,lambda2_season,1.004770369836356
TNx,tau_level,1.0012333858314424
TNx,tau_trend,1.0009545374518707
TNx,tau_season,1.0024775883737762
TNn,alpha0,1.0025874397958416
TNn,s_level,0.9998206680046248
TNn,q_level,1.0011870772809843
TNn,sigma,1.0005280059124801
TNn,sigma2,1.000560137683947
TNn,xi,1.0010047853894484
TNn,beta0,1.002831874058985
TNn,s_trend,1.0001442064899448
TNn,q_trend,1.0018389640451841
TNn,s_season,1.0000475315802506
TNn,q_season,1.0000000823374695
TNn,lambda2_level,1.0001642078083437
TNn,lambda2_trend,1.0001231885380577
TNn,lambda2_season,0.999861617327109
TNn,tau_level,1.0000453226405266
TNn,tau_trend,1.0002805029433435
TNn,tau_season,0.9999937852161729
