time_label,time_x,threshold,median,lo,hi
1900,1899.9583333333333,0.0,0.9911516554426656,0.9782593040737391,0.9961300522456022
1900,1899.9583333333333,-1.0,0.9514110099115977,0.9103914689855027,0.972814229732828
1900,1899.9583333333333,-2.0,0.8484914061435787,0.7721583249313091,0.8976462187968894
1900,1899.9583333333333,-3.0,0.6808598206596974,0.5839154355997379,0.7530227100621808
1900,1899.9583333333333,-4.0,0.4872408295190259,0.39329773172082333,0.5654485155474183
1900,1899.9583333333333,-5.0,0.3130841836076105,0.2391957532247285,0.3799320372362887
1950,1949.9583333333333,0.0,0.9582033944283395,0.9193163552917729,0.9778365461300422
1950,1949.9583333333333,-1.0,0.8626738001334662,0.7862333619034708,0.9114087196325349
1950,1949.9583333333333,-2.0,0.7006022935772028,0.6001451379379756,0.776372418715024
1950,1949.9583333333333,-3.0,0.5075934584073957,0.4082383873924823,0.5917517654618765
1950,1949.9583333333333,-4.0,0.32964891753056,0.24975097818880113,0.4031349941103169
1950,1949.9583333333333,-5.0,0.19438463239533826,0.13956262481401457,0.24866347507983783
2020,2019.9583333333333,0.0,0.7697140872441477,0.6920061133579456,0.842822646728601
2020,2019.9583333333333,-1.0,0.5829795039309935,0.4981594230661581,0.6732887653655907
2020,2019.9583333333333,-2.0,0.3951402854731456,0.32074055105337806,0.4805412058742261
2020,2019.9583333333333,-3.0,0.24167954359034516,0.18606690603637846,0.30901455854404614
2020,2019.9583333333333,-4.0,0.13485069936563998,0.09852447253850793,0.1811074054823468
2020,2019.9583333333333,-5.0,0.06923160439589615,0.04733298091782798,0.09806033731600701
