parameter,mean,sd,rhat,ess_bulk,acceptance,constant,diagnostic
alpha0,-6.561988808079841,0.4230847440819654,1.0233961395933453,33.10400933046618,,False,sampled
beta0,0.00010859923985907694,0.0006192860819950907,1.074941721285237,55.94600467951512,,False,sampled
initial.level,-6.561988808079841,0.4230847440819654,1.0233961395933453,33.10400933046618,,False,sampled
initial.slope,0.00010859923985907694,0.0006192860819950907,1.074941721285237,55.94600467951512,,False,sampled
model_index,10.596,1.4632382349653554,1.0436221386800508,95.430522391253,,False,sampled
q_level,0.0029750583821537054,0.0029198011381289636,1.2554647328037587,8.083073551775623,,False,sampled
q_season,3.284286391230966e-05,0.00014436155286427158,0.9988266242205909,300.12952075416786,,False,sampled
q_trend,4.0736582828055635e-10,2.399919935304841e-09,1.0695393126316983,24.130398058645795,,False,sampled
s_level,-0.0018412687871957152,0.05456760355855157,1.2554647328037587,500.0,,False,sampled
s_season,-0.00023541399647575382,0.00573176678376746,0.9988266242205909,500.0,,False,sampled
s_trend,1.3657138844007436e-06,2.0157214103823128e-05,1.0695393126316983,500.0,,False,sampled
sd.level,0.04930766093573364,0.023343152330434627,1.2554647328037587,8.083073551775623,,False,sampled
sd.seasonal,0.0016886060205862233,0.005481931846812382,0.9988266242205909,300.12952075416786,,False,sampled
sd.slope,3.932358930935515e-06,1.981635074964394e-05,1.0695393126316983,24.130398058645795,,False,sampled
sigma,2.267919611180273,0.04108942169736828,1.0561026889312959,41.30951718384348,0.38,False,sampled
sigma2,5.145144326670356,0.18601361157365437,1.0561026889312959,41.30951718384348,,False,sampled
signed_sd.level,-0.0018412687871957152,0.05456760355855157,1.2554647328037587,500.0,,False,sampled
signed_sd.seasonal,-0.00023541399647575382,0.00573176678376746,0.9988266242205909,500.0,,False,sampled
signed_sd.slope,1.3657138844007436e-06,2.0157214103823128e-05,1.0695393126316983,500.0,,False,sampled
state_level,1.976,0.15320229072624056,1.0475424252713408,32.94858316903849,,False,sampled
state_season,1.134,0.34099347956553716,0.99807911406588,358.54032729539756,,False,sampled
state_trend,0.226,0.517164304487144,1.07709509748838,36.287434515995514,,False,sampled
xi,-0.13913784609045216,0.012586474178922037,1.17448366788163,55.07675175698928,0.291,False,sampled
