date,time,phase,y,eta,level,slope,seasonal
1901-01-01,1,1,23.773954603718376,25.0,25.0,0.0,0.0
1901-04-01,2,2,26.25998659273474,25.0,25.0,0.0,0.0
1901-07-01,3,3,25.40202635744245,25.0,25.0,0.0,0.0
1901-10-01,4,4,24.806881024681978,25.0,25.0,0.0,0.0
1902-01-01,5,1,24.517691279875798,25.0,25.0,0.0,0.0
1902-04-01,6,2,25.85780711229602,25.0,25.0,0.0,0.0
1902-07-01,7,3,23.57324394200329,25.0,25.0,0.0,0.0
1902-10-01,8,4,27.469307958715433,25.0,25.0,0.0,0.0
1903-01-01,9,1,24.329445120117025,25.0,25.0,0.0,0.0
1903-04-01,10,2,28.05434728334392,25.0,25.0,0.0,0.0
1903-07-01,11,3,26.55038611972706,25.0,25.0,0.0,0.0
1903-10-01,12,4,25.859906706575998,25.0,25.0,0.0,0.0
1904-01-01,13,1,24.633610832096846,25.0,25.0,0.0,0.0
1904-04-01,14,2,25.534978979825144,25.0,25.0,0.0,0.0
1904-07-01,15,3,27.67233298987345,25.0,25.0,0.0,0.0
1904-10-01,16,4,27.403342217910577,25.0,25.0,0.0,0.0
1905-01-01,17,1,25.44839321272576,25.0,25.0,0.0,0.0
1905-04-01,18,2,25.735502774176624,25.0,25.0,0.0,0.0
1905-07-01,19,3,23.934831599126174,25.0,25.0,0.0,0.0
1905-10-01,20,4,25.903159930726943,25.0,25.0,0.0,0.0
1906-01-01,21,1,24.885434090105466,25.0,25.0,0.0,0.0
1906-04-01,22,2,25.306330446034757,25.0,25.0,0.0,0.0
1906-07-01,23,3,25.663575159133472,25.0,25.0,0.0,0.0
1906-10-01,24,4,24.807010229182474,25.0,25.0,0.0,0.0
1907-01-01,25,1,24.809204372904148,25.0,25.0,0.0,0.0
1907-04-01,26,2,25.287382195928462,25.0,25.0,0.0,0.0
1907-07-01,27,3,26.374174857945643,25.0,25.0,0.0,0.0
1907-10-01,28,4,23.72449929813617,25.0,25.0,0.0,0.0
1908-01-01,29,1,26.92457253573974,25.0,25.0,0.0,0.0
1908-04-01,30,2,24.38095187521064,25.0,25.0,0.0,0.0
1908-07-01,31,3,26.135960593440455,25.0,25.0,0.0,0.0
1908-10-01,32,4,26.18021285302252,25.0,25.0,0.0,0.0
1909-01-01,33,1,26.028620995759532,25.0,25.0,0.0,0.0
1909-04-01,34,2,24.33590135740446,25.0,25.0,0.0,0.0
1909-07-01,35,3,23.605779334068224,25.0,25.0,0.0,0.0
1909-10-01,36,4,26.474300654518384,25.0,25.0,0.0,0.0
1910-01-01,37,1,26.627236559670287,25.0,25.0,0.0,0.0
1910-04-01,38,2,26.769143320282147,25.0,25.0,0.0,0.0
1910-07-01,39,3,27.031006983613537,25.0,25.0,0.0,0.0
1910-10-01,40,4,22.454128763411504,25.0,25.0,0.0,0.0
1911-01-01,41,1,25.401258639417865,25.0,25.0,0.0,0.0
1911-04-01,42,2,23.360052890030534,25.0,25.0,0.0,0.0
1911-07-01,43,3,27.43398232926541,25.0,25.0,0.0,0.0
1911-10-01,44,4,22.75127634961808,25.0,25.0,0.0,0.0
1912-01-01,45,1,24.98960902630542,25.0,25.0,0.0,0.0
1912-04-01,46,2,27.103930852804346,25.0,25.0,0.0,0.0
1912-07-01,47,3,26.136939052667262,25.0,25.0,0.0,0.0
1912-10-01,48,4,25.097047543973726,25.0,25.0,0.0,0.0
1913-01-01,49,1,22.14193311894097,25.0,25.0,0.0,0.0
1913-04-01,50,2,24.336784628465914,25.0,25.0,0.0,0.0
1913-07-01,51,3,22.04632529092902,25.0,25.0,0.0,0.0
1913-10-01,52,4,23.769296659599032,25.0,25.0,0.0,0.0
1914-01-01,53,1,26.38683374009853,25.0,25.0,0.0,0.0
1914-04-01,54,2,23.78326695738846,25.0,25.0,0.0,0.0
1914-07-01,55,3,24.139103341428772,25.0,25.0,0.0,0.0
1914-10-01,56,4,22.617340951298637,25.0,25.0,0.0,0.0
1915-01-01,57,1,26.242012838725394,25.0,25.0,0.0,0.0
1915-04-01,58,2,27.711186250436217,25.0,25.0,0.0,0.0
1915-07-01,59,3,25.520778299958533,25.0,25.0,0.0,0.0
1915-10-01,60,4,24.96050957827253,25.0,25.0,0.0,0.0
1916-01-01,61,1,23.656283320508674,25.0,25.0,0.0,0.0
1916-04-01,62,2,25.9451583041313,25.0,25.0,0.0,0.0
1916-07-01,63,3,24.536237717548055,25.0,25.0,0.0,0.0
1916-10-01,64,4,26.209071655290927,25.0,25.0,0.0,0.0
1917-01-01,65,1,27.210996122885543,25.0,25.0,0.0,0.0
1917-04-01,66,2,25.36500877801646,25.0,25.0,0.0,0.0
1917-07-01,67,3,24.806497416797573,25.0,25.0,0.0,0.0
1917-10-01,68,4,25.60570937784008,25.0,25.0,0.0,0.0
1918-01-01,69,1,26.157193802075206,25.0,25.0,0.0,0.0
1918-04-01,70,2,25.29979680894147,25.0,25.0,0.0,0.0
1918-07-01,71,3,28.171067973136772,25.0,25.0,0.0,0.0
1918-10-01,72,4,26.202614830041334,25.0,25.0,0.0,0.0
1919-01-01,73,1,24.928314199485815,25.0,25.0,0.0,0.0
1919-04-01,74,2,22.19430422074135,25.0,25.0,0.0,0.0
1919-07-01,75,3,24.433836604408665,25.0,25.0,0.0,0.0
1919-10-01,76,4,24.77739045509142,25.0,25.0,0.0,0.0
1920-01-01,77,1,25.170368649545242,25.0,25.0,0.0,0.0
1920-04-01,78,2,23.059288803768336,25.0,25.0,0.0,0.0
1920-07-01,79,3,23.60382034851894,25.0,25.0,0.0,0.0
1920-10-01,80,4,26.364258733600458,25.0,25.0,0.0,0.0
1921-01-01,81,1,26.927925210065865,25.0,25.0,0.0,0.0
1921-04-01,82,2,28.46625689964761,25.0,25.0,0.0,0.0
1921-07-01,83,3,27.584504615992387,25.0,25.0,0.0,0.0
1921-10-01,84,4,24.86140496333035,25.0,25.0,0.0,0.0
1922-01-01,85,1,22.31352898027261,25.0,25.0,0.0,0.0
1922-04-01,86,2,25.367719075497856,25.0,25.0,0.0,0.0
1922-07-01,87,3,23.333240918589706,25.0,25.0,0.0,0.0
1922-10-01,88,4,25.943770903215725,25.0,25.0,0.0,0.0
1923-01-01,89,1,25.61065878225215,25.0,25.0,0.0,0.0
1923-04-01,90,2,27.491331999668233,25.0,25.0,0.0,0.0
1923-07-01,91,3,24.84792018491089,25.0,25.0,0.0,0.0
1923-10-01,92,4,23.111135707193014,25.0,25.0,0.0,0.0
1924-01-01,93,1,24.48720588075292,25.0,25.0,0.0,0.0
1924-04-01,94,2,24.841619552408524,25.0,25.0,0.0,0.0
1924-07-01,95,3,24.595018988900357,25.0,25.0,0.0,0.0
1924-10-01,96,4,26.443985820914666,25.0,25.0,0.0,0.0
1925-01-01,97,1,27.110186855537442,25.0,25.0,0.0,0.0
1925-04-01,98,2,26.303940313047768,25.0,25.0,0.0,0.0
1925-07-01,99,3,24.445316406639904,25.0,25.0,0.0,0.0
1925-10-01,100,4,22.699046088281342,25.0,25.0,0.0,0.0
1926-01-01,101,1,26.467173283160278,25.0,25.0,0.0,0.0
1926-04-01,102,2,24.341463624739557,25.0,25.0,0.0,0.0
1926-07-01,103,3,22.77102648528179,25.0,25.0,0.0,0.0
1926-10-01,104,4,24.674411131752755,25.0,25.0,0.0,0.0
1927-01-01,105,1,26.044883843240985,25.0,25.0,0.0,0.0
1927-04-01,106,2,23.254767617881726,25.0,25.0,0.0,0.0
1927-07-01,107,3,27.357126158267793,25.0,25.0,0.0,0.0
1927-10-01,108,4,26.03713982524364,25.0,25.0,0.0,0.0
1928-01-01,109,1,25.565005452522307,25.0,25.0,0.0,0.0
1928-04-01,110,2,24.45448901702065,25.0,25.0,0.0,0.0
1928-07-01,111,3,24.698616748577145,25.0,25.0,0.0,0.0
1928-10-01,112,4,26.897071542642127,25.0,25.0,0.0,0.0
1929-01-01,113,1,23.79919507452047,25.0,25.0,0.0,0.0
1929-04-01,114,2,25.097873690796014,25.0,25.0,0.0,0.0
1929-07-01,115,3,26.637872919707075,25.0,25.0,0.0,0.0
1929-10-01,116,4,23.51513464730132,25.0,25.0,0.0,0.0
1930-01-01,117,1,26.226059540537957,25.0,25.0,0.0,0.0
1930-04-01,118,2,25.258439514328483,25.0,25.0,0.0,0.0
1930-07-01,119,3,27.281446843818948,25.0,25.0,0.0,0.0
1930-10-01,120,4,26.800810215873625,25.0,25.0,0.0,0.0
1931-01-01,121,1,25.617649644338485,25.0,25.0,0.0,0.0
1931-04-01,122,2,27.372708313216716,25.0,25.0,0.0,0.0
1931-07-01,123,3,25.892491031499496,25.0,25.0,0.0,0.0
1931-10-01,124,4,27.807567291145656,25.0,25.0,0.0,0.0
1932-01-01,125,1,24.878858273229742,25.0,25.0,0.0,0.0
1932-04-01,126,2,27.986408078934105,25.0,25.0,0.0,0.0
1932-07-01,127,3,24.821183060812597,25.0,25.0,0.0,0.0
1932-10-01,128,4,22.93391486889505,25.0,25.0,0.0,0.0
1933-01-01,129,1,24.630659766219882,25.0,25.0,0.0,0.0
1933-04-01,130,2,22.693397150924266,25.0,25.0,0.0,0.0
1933-07-01,131,3,25.387184840974353,25.0,25.0,0.0,0.0
1933-10-01,132,4,26.47872587371303,25.0,25.0,0.0,0.0
1934-01-01,133,1,25.197167163342336,25.0,25.0,0.0,0.0
