parameter,lower,median,upper
alpha0,5.084428828092331,5.4193364919915865,5.791506226301291
s_level,-0.01973817334218849,-0.0006175880834393146,0.0212620487447071
q_level,4.920668368451481e-07,6.833544324581809e-05,0.0005831016084331453
sigma,2.16938965159519,2.2950168546192264,2.424752192241664
sigma2,4.706251460470646,5.267102363050471,5.879423194916237
beta0,-0.001238474396844059,0.0010007104501860106,0.002694900220228398
s_trend,-0.00012621148416033592,-1.8853634344451327e-06,0.00012844863376331437
q_trend,1.1540558206826203e-10,3.678402170403314e-09,2.3773374159874614e-08
s_season,-0.013155013984377911,0.00012301696680414414,0.013663913860313444
q_season,2.7310709509247576e-07,2.589069580151706e-05,0.0002688797614494571
lambda2_level,0.47593741601397893,1.9637386856335146,5.312145197239054
lambda2_trend,0.4929458831026199,1.8938605537244593,5.221620686590189
lambda2_season,0.5475139417653736,2.0166269697105283,5.452983823782934
tau_level,0.030691725622687665,0.4521714718247145,3.5133887032790367
tau_trend,0.044915574082754754,0.5062958618661056,3.926431033634951
tau_season,0.017366006644735258,0.38012881906308993,3.2209861382857565
