parameter,lower,median,upper
alpha0,12.015400730308727,12.434516676591622,12.818152738430905
s_level,-0.0401835967768854,-0.0004905026263930775,0.040112684739294836
q_level,2.2855147441148607e-06,0.00039452216281435186,0.002247980223785313
sigma,1.9858857193398745,2.094059619260867,2.190765805570069
sigma2,3.9437420951629845,4.3850857283776605,4.7994549388640815
beta0,-0.001101789087460948,0.0017956275996740953,0.005240735113229389
s_trend,-0.0002076266140805111,-2.4043012967202724e-06,0.00020639942496193038
q_trend,6.273573796391506e-11,8.418464139039458e-09,6.019106940280117e-08
s_season,-0.013630663891570163,0.00012627041670322135,0.013905131813829137
q_season,1.894667355446098e-07,2.8231031836178863e-05,0.00025252788294670187
lambda2_level,0.4304713791731579,1.7545870480160108,4.689294242042064
lambda2_trend,0.5130554274217208,1.893322560851053,4.915765355117174
lambda2_season,0.5314504986100244,2.015900011528534,5.30035789643386
tau_level,0.07934601497731644,0.7900165188443447,5.626143181509262
tau_trend,0.059685579129217944,0.6419129022866843,3.9184122876606295
tau_season,0.021332772312799543,0.3832182921824382,3.877677342056315
