parameter,lower,median,upper
alpha0,18.08719250117256,18.650675745061953,19.250224739594785
s_level,-0.04982315799796691,0.0015721015203958725,0.04904117591637298
q_level,2.4585055269530173e-06,0.0006795291610500736,0.003048107910171467
sigma,2.6156267651788827,2.725209185564801,2.8553841305167613
sigma2,6.841503380223809,7.426765105086766,8.153218546274925
xi,-0.29571420484987293,-0.2701900463822047,-0.24688466730151196
beta0,-0.004810142111517371,0.0006795276663335403,0.004255045659018924
s_trend,-0.0003909897567373474,3.233845755033471e-06,0.00041150961333482396
q_trend,5.114216974884949e-10,3.6090513900109675e-08,2.395285942533818e-07
s_season,-0.02619582516354953,-0.0007255751843458618,0.02810311564292742
q_season,1.020419389868348e-06,0.0001382263892401019,0.00095897636046692
lambda2_level,0.39996300236054144,1.7409928683806017,4.862961155854258
lambda2_trend,0.37654058761518233,1.5866225733536874,4.433665879307678
lambda2_season,0.4803115614470745,1.9491755420096857,5.327284568837849
tau_level,0.08042032680053829,0.890221492375854,5.449202546915975
tau_trend,0.10520846727551283,1.0701873563195807,7.006922349763822
tau_season,0.0428166778466152,0.5346916976086613,3.8781982267559587
