parameter,lower,median,upper
alpha0,-0.7123311059729177,-0.19590248307608718,0.4742410649576901
s_level,-0.022632012171065908,0.000491606820615537,0.024801099270773095
q_level,6.820122680226429e-07,9.16151832704608e-05,0.0007554563101978567
sigma,2.7252734703732493,2.86977584772787,3.007305688534857
sigma2,7.427115488320254,8.235613418869933,9.043887938809235
xi,-0.19782959284923046,-0.16934213032833634,-0.1430703024238983
beta0,-0.0022762399617649158,0.0012592667127254216,0.005224782434249671
s_trend,-0.00014265371440650684,-1.3030770376864862e-06,0.00013536666095363903
q_trend,1.4476611360545672e-10,3.2259578906392065e-09,2.7026344644893187e-08
s_season,-0.016104345489384216,-0.0002737584563342286,0.01688330504994868
q_season,2.9993340333953106e-07,3.824352097395123e-05,0.00041515323659883707
lambda2_level,0.4759310045858173,1.9563529695477782,5.264127605646667
lambda2_trend,0.501022972599243,1.8903530070076275,5.0769838078611045
lambda2_season,0.5123308161055573,1.9738657477036226,5.326417043547514
tau_level,0.03520801093256054,0.5069304742261822,3.9420184025061213
tau_trend,0.03660356981057716,0.5209696428288867,3.8897366146355647
tau_season,0.022237803184465253,0.37264041734675984,3.4826226969700995
