parameter,lower,median,upper
alpha0,5.063859376826621,5.423214036469325,5.778396389340649
s_level,-0.021423862745682514,-0.00016945933127752067,0.020788792645439674
q_level,6.110190087248635e-07,7.453186391629527e-05,0.0006246178494519905
sigma,2.168466963388665,2.2966902766634574,2.4224657532034644
sigma2,4.702248971321171,5.274786227073166,5.868340344874189
beta0,-0.0011429541791309636,0.0008437407625501922,0.0030179964241742073
s_trend,-0.0001261356631760117,2.9011548700511585e-06,0.00013214576224487336
q_trend,1.7643300665042814e-10,3.731726458832846e-09,2.5194030249047023e-08
s_season,-0.012849222537792903,7.195530202999461e-05,0.013505637491390096
q_season,2.172079592741916e-07,2.4742765364151425e-05,0.0002598439731887525
lambda2_level,0.48540472607894536,1.9172279400959606,4.978748396817968
lambda2_trend,0.5026963683712342,1.9223748798092475,4.977957763549421
lambda2_season,0.5573067233216082,2.0107185133046332,5.316250414890121
tau_level,0.03471818018270192,0.48644911946331343,3.6064503578155453
tau_trend,0.04432787573889033,0.5000947560007735,3.6749819744514904
tau_season,0.022850992014448287,0.37926160763167877,3.082417911231546
