parameter,lower,median,upper
alpha0,18.0572145969144,18.658561797647163,19.221477909781147
s_level,-0.05173025191542822,-0.0007267019199355637,0.04976706319632545
q_level,5.354304230462708e-06,0.0006753732543744914,0.0033921007055907125
sigma,2.6168829178000745,2.7211925440216023,2.8343128507617155
sigma2,6.848076233882754,7.40488886163876,8.033329335993002
xi,-0.2900200382615628,-0.26808454200153004,-0.2436582093794162
beta0,-0.0039099111410263055,0.0010863147926591557,0.005213219383197715
s_trend,-0.00039237732462975137,1.1103042321417352e-06,0.0003792134404007476
q_trend,2.73723440388314e-10,2.8240164566455946e-08,2.3154312880688924e-07
s_season,-0.025815120703933568,0.0002444809553538989,0.02711812465321209
q_season,1.1562568457923272e-06,0.0001208208148555092,0.0010072287496068577
lambda2_level,0.38897991284385963,1.652628332351807,4.560718638314494
lambda2_trend,0.36192244951806996,1.6003090238269764,4.690370460953076
lambda2_season,0.4694848143057752,1.8549298443258104,5.086136385626777
tau_level,0.09434440688519832,0.9899084989086575,5.386785310566351
tau_trend,0.08360968533188669,1.0101974089866197,6.464462385555924
tau_season,0.043628931494354053,0.5678471124627833,3.952735051218896
