parameter,lower,median,upper
alpha0,-7.317623159299601,-6.7446461235598605,-6.083381675574396
s_level,-0.026615411378273363,-6.948261425463733e-05,0.027300549051896186
q_level,8.119205440325068e-07,0.0001241100437207309,0.0010344903814585324
sigma,2.812404297063205,2.9495035919662107,3.089430998705905
sigma2,7.90961793013958,8.699571439022163,9.544583898826003
xi,-0.24628966509749783,-0.2256153901551751,-0.2038065690919513
beta0,-0.003126950335211443,8.360813574611882e-05,0.0045887154941534536
s_trend,-0.00016945280613532118,-2.763680872336641e-06,0.00016619455316640102
q_trend,1.3745690709012344e-10,5.6562313226095084e-09,4.1957363989551385e-08
s_season,-0.015877841507886233,0.00010630597724225793,0.015722292118220724
q_season,2.8560679977896677e-07,3.6610239194470014e-05,0.00038069279105287535
lambda2_level,0.4837802368959696,1.8978258204190883,4.91660809395316
lambda2_trend,0.4815141755260561,1.85366994074321,4.942757476735712
lambda2_season,0.5193070484955807,2.035950755721381,5.239071973489513
tau_level,0.041504103602128105,0.5550833210153376,3.990020027191025
tau_trend,0.05190488497153342,0.5651326403372021,3.934956808937718
tau_season,0.023515418360825102,0.4061087503277767,3.2703481866821993
