date,TXx,TXn,TNx,TNn
1980-01-01,11.1,-2.2,4.9,-8.2
1980-02-01,13.3,2.2,7.9,-0.9
1980-03-01,15.5,2.7,7.3,-2.2
1980-04-01,22.1,6.5,9.9,0.6
1980-05-01,23.6,8.0,10.7,3.1
1980-06-01,27.2,13.6,16.8,6.7
1980-07-01,28.6,12.5,17.6,7.3
1980-08-01,29.9,14.9,16.3,7.2
1980-09-01,25.9,15.8,16.9,7.7
1980-10-01,19.1,7.6,11.7,0.3
1980-11-01,15.1,-2.3,11.0,-5.8
1980-12-01,12.7,-0.9,9.4,-6.2
1981-01-01,10.5,0.1,6.5,-4.7
1981-02-01,10.3,0.5,7.7,-6.1
1981-03-01,19.6,1.6,12.8,-0.3
1981-04-01,21.0,7.9,12.8,-0.2
1981-05-01,28.0,8.8,15.4,-1.4
1981-06-01,26.2,11.1,15.6,6.9
1981-07-01,29.7,14.5,18.9,8.8
1981-08-01,29.6,16.2,19.5,8.2
1981-09-01,25.7,15.4,14.9,6.8
1981-10-01,19.7,7.7,10.5,1.6
1981-11-01,16.4,3.5,12.1,-3.6
1981-12-01,9.8,-4.4,5.7,-8.3
1982-01-01,12.1,-6.9,8.9,-12.0
1982-02-01,13.4,0.1,6.6,-4.1
1982-03-01,17.2,5.6,6.1,-2.0
1982-04-01,20.5,6.3,9.2,-0.5
1982-05-01,26.4,9.1,14.0,0.7
1982-06-01,28.1,15.1,17.4,5.3
1982-07-01,31.6,17.4,19.1,9.3
1982-08-01,28.7,17.5,18.2,9.3
1982-09-01,27.6,16.0,16.1,6.1
1982-10-01,19.3,9.2,11.0,4.7
1982-11-01,17.2,4.2,12.2,0.2
1982-12-01,12.7,1.4,5.9,-3.3
1983-01-01,12.9,1.0,9.0,-4.1
1983-02-01,10.8,-2.0,5.1,-6.1
1983-03-01,15.6,5.0,8.8,0.2
1983-04-01,20.0,3.1,11.1,-0.6
1983-05-01,23.2,9.6,12.4,5.5
1983-06-01,27.2,15.9,15.9,6.2
1983-07-01,31.9,18.7,19.8,10.1
1983-08-01,30.2,17.3,18.4,8.8
1983-09-01,25.3,11.8,15.9,6.5
1983-10-01,25.4,9.0,16.8,-1.3
1983-11-01,18.4,2.3,12.3,-6.6
1983-12-01,13.4,0.3,9.1,-4.0
1984-01-01,11.1,1.6,6.4,-3.2
1984-02-01,9.8,-0.8,5.1,-5.1
1984-03-01,11.8,2.3,5.2,-2.4
1984-04-01,23.0,3.0,12.4,0.3
1984-05-01,19.7,8.5,10.9,3.3
1984-06-01,28.2,12.2,16.0,5.8
1984-07-01,33.0,13.7,19.1,4.4
