DATE,TMIN,DAY,year,month
1892-01-11,-7.898159135518007,11,1892,1
1892-02-17,-6.448770926396762,17,1892,2
1892-03-07,-7.562675264550265,7,1892,3
1892-04-15,-2.997621501109405,15,1892,4
1892-05-07,1.9437763483529604,7,1892,5
1892-06-16,3.7257118322239284,16,1892,6
1892-07-19,4.750227961256184,19,1892,7
1892-08-05,6.650227961256188,5,1892,8
1892-09-18,4.452378498890597,18,1892,9
1892-10-19,-0.633643006485749,19,1892,10
1892-11-23,-1.504288167776071,23,1892,11
1892-12-29,-8.527191393582523,29,1892,12
1893-01-16,-11.130417200034136,16,1893,1
1893-02-05,-4.357145310633214,5,1893,2
1893-03-20,-3.182030103259943,20,1893,3
1893-04-12,-0.5942881677760719,12,1893,4
1893-05-07,2.5534537677077997,7,1893,5
1893-06-01,4.645711832223928,1,1893,6
1893-07-31,6.853453767707799,31,1893,7
1893-08-28,7.34377634835296,28,1893,8
1893-09-24,3.3790451655572626,24,1893,9
1893-10-31,1.6792602193207022,31,1893,10
1893-11-12,-5.084288167776072,12,1893,11
1893-12-30,-6.149772038743814,30,1893,12
1894-01-04,-6.311062361324459,4,1894,1
1894-02-19,-5.571431024918929,19,1894,2
1894-03-19,-3.1562236516470397,19,1894,3
1894-04-30,0.909045165557262,30,1894,4
1894-05-05,0.21151828383683124,5,1894,5
1894-06-15,4.079045165557262,15,1894,6
1894-07-15,7.0082924773852175,15,1894,7
1894-08-21,6.392163445127156,21,1894,8
1894-09-11,2.699045165557261,11,1894,9
1894-10-17,0.3050666709336056,17,1894,10
1894-11-27,-1.8942881677760717,27,1894,11
1894-12-12,-4.1691268774534915,12,1894,12
1895-01-27,-10.130417200034136,27,1895,1
1895-02-07,-14.482145310633214,7,1895,2
1895-03-06,-5.320739780679298,6,1895,3
1895-04-05,-1.3109548344427386,5,1895,4
1895-05-03,1.6470021548045732,3,1895,5
1895-06-16,4.139045165557262,16,1895,6
1895-07-06,6.024421509643283,6,1895,7
1895-08-26,6.411518283836831,26,1895,8
1895-09-21,5.772378498890597,21,1895,9
1895-10-24,-1.3078365548728454,24,1895,10
1895-11-26,-1.1876215011094047,26,1895,11
1895-12-28,-6.227191393582523,28,1895,12
1896-01-10,-5.994933329066394,10,1896,1
1896-02-26,-6.538426098810555,26,1896,2
1896-03-13,-2.3142881677760716,13,1896,3
1896-04-03,-2.4776215011094056,3,1896,4
1896-05-01,0.05345376770779886,1,1896,5
1896-06-28,5.592378498890594,28,1896,6
1896-07-02,6.766356993514248,2,1896,7
1896-08-28,4.950227961256185,28,1896,8
1896-09-29,4.592378498890594,29,1896,9
1896-10-24,-0.4529978451954264,24,1896,10
1896-11-30,-6.487621501109405,30,1896,11
1896-12-22,-5.459449458098653,22,1896,12
1897-01-21,-7.746546232292201,21,1897,1
1897-02-17,-4.135716739204643,17,1897,2
1897-03-07,-2.1207397806792976,7,1897,3
1897-04-06,-2.1209548344427387,6,1897,4
1897-05-14,0.5824860257723152,14,1897,5
1897-06-19,6.449045165557259,19,1897,6
1897-07-08,6.2986150580303795,8,1897,7
1897-08-24,7.256679574159413,24,1897,8
1897-09-20,3.325711832223928,20,1897,9
1897-10-08,-0.42396558713091004,8,1897,10
1897-11-26,-4.540954834442738,26,1897,11
1897-12-23,-5.1465462322922,23,1897,12
1898-01-17,-4.459449458098653,17,1898,1
1898-02-05,-5.239288167776071,5,1898,2
1898-03-07,-5.6046107484212335,7,1898,3
1898-04-02,-1.837621501109405,2,1898,4
1898-05-27,0.9050666709336053,27,1898,5
1898-06-01,4.0290451655572594,1,1898,6
1898-07-05,4.666356993514252,5,1898,7
1898-08-31,7.705066670933609,31,1898,8
1898-09-28,4.482378498890594,28,1898,9
1898-10-14,1.688937638675542,14,1898,10
1898-11-23,-2.567621501109405,23,1898,11
1898-12-23,-3.3304172000341357,23,1898,12
1899-01-28,-4.617513974227685,28,1899,1
1899-02-27,-5.114288167776071,27,1899,2
1899-03-21,-6.098159135518007,21,1899,3
1899-04-23,-1.6609548344427383,23,1899,4
1899-05-04,0.40184086448199263,4,1899,5
1899-06-11,3.932378498890592,11,1899,6
1899-07-28,6.866356993514253,28,1899,7
1899-08-22,6.9437763483529595,22,1899,8
1899-09-23,3.9257118322239277,23,1899,9
1899-10-19,-1.1046107484212335,19,1899,10
1899-11-17,-0.5076215011094058,17,1899,11
1899-12-14,-10.162675264550266,14,1899,12
1900-01-15,-4.707836554872846,15,1900,1
1900-02-10,-6.392859596347501,10,1900,2
1900-03-04,-6.275578490356716,4,1900,3
1900-04-03,-2.787621501109405,3,1900,4
1900-05-20,0.07280860641747733,20,1900,5
1900-06-02,5.225711832223928,2,1900,6
1900-07-08,7.453453767707798,8,1900,7
1900-08-12,5.830873122546508,12,1900,8
1900-09-04,3.7523784988905957,4,1900,9
1900-10-20,0.14700215480457324,20,1900,10
1900-11-30,-1.9809548344427386,30,1900,11
1900-12-24,-3.204610748421233,24,1900,12
1901-01-06,-7.50138494196962,6,1901,1
1901-02-14,-10.3178595963475,14,1901,2
1901-03-26,-5.32396558713091,26,1901,3
1901-04-05,-1.0609548344427386,5,1901,4
1901-05-19,1.2599053806110252,19,1901,5
1901-06-16,4.2823784988905915,16,1901,6
1901-07-03,7.42119570319167,3,1901,7
1901-08-30,6.453453767707798,30,1901,8
1901-09-06,4.622378498890597,6,1901,9
1901-10-27,0.8728086064174763,27,1901,10
1901-11-24,-4.524288167776072,24,1901,11
1901-12-17,-5.420739780679297,17,1901,12
1902-01-30,-3.7949333290663945,30,1902,1
1902-02-16,-8.542859596347501,16,1902,2
1902-03-04,-3.643320425840588,4,1902,3
1902-04-09,-1.130954834442738,9,1902,4
1902-05-07,-1.2239655871309107,7,1902,5
1902-06-11,4.005711832223928,11,1902,6
1902-07-12,4.856679574159412,12,1902,7
1902-08-11,5.5082924773852175,11,1902,8
1902-09-29,3.6757118322239277,29,1902,9
1902-10-04,-0.41428816777607214,4,1902,10
1902-11-21,-4.030954834442738,21,1902,11
1902-12-06,-7.182030103259943,6,1902,12
1903-01-15,-5.227191393582523,15,1903,1
1903-02-17,-3.378573882061786,17,1903,2
1903-03-10,-2.511062361324459,10,1903,3
1903-04-17,-3.647621501109405,17,1903,4
1903-05-18,2.3889376386755403,18,1903,5
1903-06-22,3.919045165557262,22,1903,6
1903-07-14,5.824421509643282,14,1903,7
1903-08-07,5.995389251578769,7,1903,8
1903-09-13,4.885711832223929,13,1903,9
1903-10-31,2.569582799965864,31,1903,10
1903-11-20,-2.8009548344427384,20,1903,11
1903-12-31,-7.1046107484212335,31,1903,12
1904-01-01,-7.207836554872846,1,1904,1
1904-02-29,-5.5211847195002095,29,1904,2
1904-03-01,-5.20138494196962,1,1904,3
1904-04-26,-0.714288167776072,26,1904,4
1904-05-05,1.8050666709336056,5,1904,5
1904-06-28,3.575711832223928,28,1904,6
1904-07-03,7.1695827999658635,3,1904,7
1904-08-25,5.688937638675541,25,1904,8
1904-09-21,2.282378498890595,21,1904,9
