date,TXn_seasonal
1891-12-01,-5.4
1892-03-01,-2.1
1892-06-01,12.7
1892-09-01,0.7
1892-12-01,-6.7
1893-03-01,3.0
1893-06-01,13.7
1893-09-01,1.4
1893-12-01,-7.9
1894-03-01,6.0
1894-06-01,12.8
1894-09-01,-0.1
1894-12-01,-10.5
1895-03-01,-1.7
1895-06-01,13.3
1895-09-01,0.2
1895-12-01,-2.9
1896-03-01,3.7
1896-06-01,11.6
1896-09-01,-0.6
1896-12-01,-3.8
1897-03-01,4.0
1897-06-01,11.9
1897-09-01,0.5
1897-12-01,-0.4
1898-03-01,-0.4
1898-06-01,12.9
1898-09-01,1.4
1898-12-01,-0.7
1899-03-01,1.2
1899-06-01,11.9
1899-09-01,6.1
1899-12-01,-7.7
1900-03-01,0.0
1900-06-01,13.0
1900-09-01,2.4
1900-12-01,-6.7
1901-03-01,0.8
1901-06-01,11.9
1901-09-01,1.9
1901-12-01,-3.7
1902-03-01,4.9
1902-06-01,11.9
1902-09-01,-1.9
1902-12-01,-6.8
1903-03-01,2.6
1903-06-01,10.9
1903-09-01,-0.8
1903-12-01,-4.2
1904-03-01,-1.0
1904-06-01,11.0
1904-09-01,-0.7
1904-12-01,-4.8
1905-03-01,2.3
1905-06-01,12.1
1905-09-01,0.2
1905-12-01,-1.9
1906-03-01,0.8
1906-06-01,11.8
1906-09-01,5.5
1906-12-01,-9.0
1907-03-01,4.2
1907-06-01,10.8
1907-09-01,2.5
1907-12-01,-6.6
1908-03-01,-0.1
1908-06-01,12.5
1908-09-01,3.4
1908-12-01,-9.1
1909-03-01,-0.5
1909-06-01,11.8
1909-09-01,-0.2
1909-12-01,0.0
1910-03-01,4.6
1910-06-01,12.8
1910-09-01,0.4
1910-12-01,-2.0
1911-03-01,0.4
1911-06-01,12.6
1911-09-01,0.3
1911-12-01,-4.6
1912-03-01,6.4
1912-06-01,11.5
1912-09-01,3.2
1912-12-01,-0.8
1913-03-01,3.8
1913-06-01,12.5
1913-09-01,6.4
1913-12-01,-3.8
1914-03-01,5.5
1914-06-01,9.5
1914-09-01,-1.6
1914-12-01,-1.4
1915-03-01,0.8
1915-06-01,15.4
1915-09-01,-4.1
1915-12-01,-0.2
1916-03-01,-0.8
1916-06-01,10.1
1916-09-01,-0.6
1916-12-01,-7.2
1917-03-01,-0.9
1917-06-01,14.6
1917-09-01,4.5
1917-12-01,-5.2
1918-03-01,0.2
1918-06-01,13.6
1918-09-01,0.0
1918-12-01,-4.6
1919-03-01,2.2
1919-06-01,12.8
1919-09-01,-1.4
1919-12-01,-1.0
1920-03-01,4.1
1920-06-01,12.0
1920-09-01,3.1
1920-12-01,-6.1
1921-03-01,4.7
1921-06-01,11.5
1921-09-01,-4.1
1921-12-01,-5.0
1922-03-01,2.2
1922-06-01,13.0
1922-09-01,-1.1
1922-12-01,-0.1
1923-03-01,2.8
1923-06-01,11.2
1923-09-01,-1.8
1923-12-01,-2.8
1924-03-01,-0.4
1924-06-01,11.9
1924-09-01,1.9
1924-12-01,-3.8
1925-03-01,0.0
1925-06-01,11.8
1925-09-01,-1.0
1925-12-01,-6.5
1926-03-01,4.3
1926-06-01,13.9
1926-09-01,2.7
1926-12-01,-3.2
1927-03-01,3.2
1927-06-01,11.2
1927-09-01,0.5
1927-12-01,-7.1
1928-03-01,0.9
1928-06-01,13.2
1928-09-01,5.3
1928-12-01,-11.6
1929-03-01,0.6
