date,TXx_seasonal
1891-12-01,13.1
1892-03-01,29.9
1892-06-01,33.4
1892-09-01,24.4
1892-12-01,14.0
1893-03-01,26.1
1893-06-01,32.8
1893-09-01,24.1
1893-12-01,13.0
1894-03-01,26.3
1894-06-01,29.9
1894-09-01,22.6
1894-12-01,10.4
1895-03-01,26.5
1895-06-01,29.1
1895-09-01,28.5
1895-12-01,13.9
1896-03-01,21.1
1896-06-01,28.7
1896-09-01,22.9
1896-12-01,14.3
1897-03-01,25.1
1897-06-01,28.6
1897-09-01,23.3
1897-12-01,12.7
1898-03-01,23.5
1898-06-01,32.2
1898-09-01,30.2
1898-12-01,18.4
1899-03-01,22.5
1899-06-01,30.1
1899-09-01,28.5
1899-12-01,17.2
1900-03-01,25.9
1900-06-01,32.0
1900-09-01,26.1
1900-12-01,13.0
1901-03-01,26.8
1901-06-01,31.0
1901-09-01,24.2
1901-12-01,13.2
1902-03-01,24.3
1902-06-01,28.1
1902-09-01,25.0
1902-12-01,14.2
1903-03-01,28.4
1903-06-01,28.7
1903-09-01,29.1
1903-12-01,10.2
1904-03-01,28.4
1904-06-01,31.9
1904-09-01,23.4
1904-12-01,11.8
1905-03-01,25.2
1905-06-01,28.5
1905-09-01,24.0
1905-12-01,12.2
1906-03-01,24.2
1906-06-01,29.5
1906-09-01,30.8
1906-12-01,11.0
1907-03-01,27.5
1907-06-01,26.9
1907-09-01,25.5
1907-12-01,12.6
1908-03-01,25.0
1908-06-01,28.9
1908-09-01,25.1
1908-12-01,10.6
1909-03-01,27.8
1909-06-01,28.4
1909-09-01,22.6
1909-12-01,12.2
1910-03-01,25.8
1910-06-01,27.2
1910-09-01,23.7
1910-12-01,12.1
1911-03-01,24.9
1911-06-01,34.3
1911-09-01,31.2
1911-12-01,15.3
1912-03-01,28.4
1912-06-01,31.5
1912-09-01,17.3
1912-12-01,12.8
1913-03-01,27.7
1913-06-01,28.5
1913-09-01,21.6
1913-12-01,14.6
1914-03-01,26.5
1914-06-01,29.0
1914-09-01,25.8
1914-12-01,14.6
1915-03-01,25.6
1915-06-01,32.4
1915-09-01,25.1
1915-12-01,14.8
1916-03-01,25.9
1916-06-01,28.1
1916-09-01,22.8
1916-12-01,12.9
1917-03-01,27.6
1917-06-01,29.9
1917-09-01,25.7
1917-12-01,12.9
1918-03-01,29.7
1918-06-01,32.0
1918-09-01,24.6
1918-12-01,13.8
1919-03-01,25.1
1919-06-01,31.0
1919-09-01,30.8
1919-12-01,16.8
1920-03-01,24.4
1920-06-01,27.0
1920-09-01,23.6
1920-12-01,14.8
1921-03-01,28.1
1921-06-01,34.2
1921-09-01,28.0
1921-12-01,16.3
1922-03-01,32.3
1922-06-01,27.9
1922-09-01,22.8
1922-12-01,11.9
1923-03-01,27.3
1923-06-01,33.0
1923-09-01,27.3
1923-12-01,12.2
1924-03-01,27.3
1924-06-01,29.8
1924-09-01,23.6
1924-12-01,11.9
1925-03-01,28.0
1925-06-01,32.7
1925-09-01,20.7
1925-12-01,14.6
1926-03-01,24.1
1926-06-01,29.2
1926-09-01,29.2
1926-12-01,14.3
1927-03-01,24.1
1927-06-01,29.8
1927-09-01,24.7
1927-12-01,15.1
1928-03-01,26.2
1928-06-01,32.6
1928-09-01,28.4
1928-12-01,10.0
1929-03-01,28.2
1929-06-01,32.8
1929-09-01,32.8
1929-12-01,14.4
1930-03-01,24.5
1930-06-01,31.6
1930-09-01,25.3
1930-12-01,11.0
1931-03-01,27.0
1931-06-01,29.2
1931-09-01,21.8
1931-12-01,13.7
1932-03-01,28.0
1932-06-01,34.7
1932-09-01,25.7
1932-12-01,14.5
1933-03-01,25.1
1933-06-01,32.6
1933-09-01,24.1
1933-12-01,11.8
1934-03-01,26.6
1934-06-01,31.5
1934-09-01,30.0
1934-12-01,14.5
1935-03-01,23.4
1935-06-01,30.3
1935-09-01,26.0
1935-12-01,13.6
1936-03-01,24.1
1936-06-01,30.4
1936-09-01,28.0
1936-12-01,13.8
1937-03-01,28.5
1937-06-01,30.9
1937-09-01,26.7
1937-12-01,13.8
1938-03-01,26.6
1938-06-01,31.9
1938-09-01,26.2
1938-12-01,13.9
1939-03-01,24.7
1939-06-01,31.2
1939-09-01,27.3
1939-12-01,15.3
1940-03-01,25.4
1940-06-01,27.4
1940-09-01,28.8
1940-12-01,13.4
1941-03-01,21.8
1941-06-01,33.4
1941-09-01,25.5
1941-12-01,13.1
1942-03-01,27.0
1942-06-01,31.5
1942-09-01,29.3
1942-12-01,14.0
1943-03-01,28.8
1943-06-01,31.7
1943-09-01,28.6
1943-12-01,11.3
1944-03-01,31.8
1944-06-01,32.4
1944-09-01,23.2
1944-12-01,14.1
1945-03-01,29.7
1945-06-01,33.4
1945-09-01,25.8
1945-12-01,13.3
1946-03-01,24.4
1946-06-01,30.6
1946-09-01,25.7
1946-12-01,14.8
1947-03-01,30.5
1947-06-01,36.8
1947-09-01,29.3
1947-12-01,12.5
1948-03-01,24.8
1948-06-01,32.0
1948-09-01,26.5
1948-12-01,16.3
1949-03-01,26.9
1949-06-01,33.0
1949-09-01,31.7
1949-12-01,17.3
1950-03-01,25.6
1950-06-01,30.0
1950-09-01,21.5
1950-12-01,11.6
1951-03-01,25.5
1951-06-01,28.7
1951-09-01,27.0
1951-12-01,12.0
1952-03-01,25.5
1952-06-01,35.1
1952-09-01,22.6
1952-12-01,14.7
1953-03-01,29.3
1953-06-01,30.8
1953-09-01,26.0
1953-12-01,15.9
1954-03-01,29.4
1954-06-01,30.0
1954-09-01,27.5
1954-12-01,13.5
1955-03-01,25.6
1955-06-01,30.2
1955-09-01,25.2
1955-12-01,13.3
1956-03-01,28.1
1956-06-01,29.4
1956-09-01,25.0
1956-12-01,14.4
1957-03-01,21.4
1957-06-01,34.4
1957-09-01,24.3
1957-12-01,15.9
1958-03-01,22.1
