tag,model,T,period,sigma_true,q_true,time_sec,rmse_mu,cov90_mu,mlpd,qalpha_mean,qalpha_median
T500_P12_sig2.0_q1e-10_rep1,IG,500,12,2.0,1e-10,325.66044664382935,0.4268162438921019,0.978,-2.07574839774228,0.09730834131968934,0.09567239501165464
T500_P12_sig2.0_q1e-10_rep1,PC,500,12,2.0,1e-10,353.0178542137146,0.04152618353281639,1.0,-2.1314981698079656,1.0750402194356165e-09,1.0246548730133395e-09
T500_P12_sig2.0_q1e-10_rep2,IG,500,12,2.0,1e-10,367.1960608959198,0.397813627294842,0.99,-2.075311608236665,0.1116425296904992,0.10848654470535456
T500_P12_sig2.0_q1e-10_rep2,PC,500,12,2.0,1e-10,347.66683077812195,0.05905843208558411,1.0,-2.1371768081566995,1.0885675609964505e-09,1.0429363594708768e-09
T500_P12_sig2.0_q1e-10_rep3,IG,500,12,2.0,1e-10,312.52746081352234,0.397813627294842,0.99,-2.075311608236665,0.1116425296904992,0.10848654470535456
T500_P12_sig2.0_q1e-10_rep3,PC,500,12,2.0,1e-10,378.59258127212524,0.05905843208558411,1.0,-2.1371768081566995,1.0885675609964505e-09,1.0429363594708768e-09
T500_P12_sig2.0_q1e-08_rep1,IG,500,12,2.0,1e-08,348.0687141418457,0.39782268733418236,0.99,-2.075308314860138,0.1116373267238238,0.1084813533379064
T500_P12_sig2.0_q1e-08_rep1,PC,500,12,2.0,1e-08,290.58426117897034,0.059003682753719006,1.0,-2.137166488063524,1.2086605998878806e-07,1.1426135168309146e-07
T500_P12_sig2.0_q1e-08_rep2,IG,500,12,2.0,1e-08,282.0983135700226,0.39782268733418236,0.99,-2.075308314860138,0.1116373267238238,0.1084813533379064
T500_P12_sig2.0_q1e-08_rep2,PC,500,12,2.0,1e-08,290.99514627456665,0.059003682753719006,1.0,-2.137166488063524,1.2086605998878806e-07,1.1426135168309146e-07
T500_P12_sig2.0_q1e-08_rep3,IG,500,12,2.0,1e-08,279.41684913635254,0.39782268733418236,0.99,-2.075308314860138,0.1116373267238238,0.1084813533379064
T500_P12_sig2.0_q1e-08_rep3,PC,500,12,2.0,1e-08,290.5534930229187,0.0591018277440831,1.0,-2.1371596285712364,1.2086605998878806e-07,1.1426135168309146e-07
T500_P12_sig2.0_q1e-06_rep1,IG,500,12,2.0,1e-06,283.43268370628357,0.39791567835139313,0.99,-2.075275393880915,0.11158592209501518,0.10843144050109707
T500_P12_sig2.0_q1e-06_rep1,PC,500,12,2.0,1e-06,291.761545419693,0.060027527981738285,1.0,-2.1368482576641337,1.625287063048192e-05,1.4365913181272372e-05
T500_P12_sig2.0_q1e-06_rep2,IG,500,12,2.0,1e-06,277.5777196884155,0.39791567835139313,0.99,-2.075275393880915,0.11158592209501518,0.10843144050109707
T500_P12_sig2.0_q1e-06_rep2,PC,500,12,2.0,1e-06,293.913400888443,0.060027527981738285,1.0,-2.1368482576641337,1.625287063048192e-05,1.4365913181272372e-05
T500_P12_sig2.0_q1e-06_rep3,IG,500,12,2.0,1e-06,281.2162575721741,0.39791567835139313,0.99,-2.075275393880915,0.11158592209501518,0.10843144050109707
T500_P12_sig2.0_q1e-06_rep3,PC,500,12,2.0,1e-06,292.6179986000061,0.060027527981738285,1.0,-2.1368482576641337,1.625287063048192e-05,1.4365913181272372e-05
T500_P12_sig2.0_q1e-04_rep1,IG,500,12,2.0,0.0001,282.04103350639343,0.39908413998165154,0.986,-2.0749476053459457,0.11113410876073627,0.10805330609216608
T500_P12_sig2.0_q1e-04_rep1,PC,500,12,2.0,0.0001,289.9152100086212,0.09822940710405134,1.0,-2.133395760873409,0.00045110005553539867,0.00042779160785196105
T500_P12_sig2.0_q1e-04_rep2,IG,500,12,2.0,0.0001,277.36696696281433,0.39908413998165154,0.986,-2.0749476053459457,0.11113410876073627,0.10805330609216608
T500_P12_sig2.0_q1e-04_rep2,PC,500,12,2.0,0.0001,299.0774884223938,0.09822940710405134,1.0,-2.133395760873409,0.00045110005553539867,0.00042779160785196105
T500_P12_sig2.0_q1e-04_rep3,IG,500,12,2.0,0.0001,278.5869081020355,0.39908413998165154,0.986,-2.0749476053459457,0.11113410876073627,0.10805330609216608
T500_P12_sig2.0_q1e-04_rep3,PC,500,12,2.0,0.0001,287.4620864391327,0.09822940710405134,1.0,-2.133395760873409,0.00045110005553539867,0.00042779160785196105
