date,TXx,TXn,TNx,TNn
1892-01-01,9.6,-5.4,7.1,-10.5
1892-02-01,13.1,-5.3,4.0,-10.4
1892-03-01,16.5,-2.1,8.5,-8.9
1892-04-01,21.5,4.4,8.7,-2.5
1892-05-01,29.9,7.4,19.7,-1.2
1892-06-01,27.3,13.2,15.3,3.2
1892-07-01,30.2,12.7,15.5,7.2
1892-08-01,33.4,14.3,18.9,7.6
1892-09-01,24.4,12.1,15.4,5.3
1892-10-01,17.3,3.8,12.9,-0.7
1892-11-01,15.2,0.7,10.3,-2.3
1892-12-01,9.5,-3.5,4.3,-9.5
1893-01-01,7.5,-6.7,4.1,-15.4
1893-02-01,14.0,2.3,7.8,-5.5
1893-03-01,16.2,3.0,8.9,-1.3
1893-04-01,23.7,7.6,11.1,-0.8
1893-05-01,26.1,8.7,13.0,1.2
1893-06-01,29.3,13.7,15.8,3.5
1893-07-01,32.1,15.6,17.9,9.4
1893-08-01,32.8,16.4,19.6,6.7
1893-09-01,24.1,12.6,14.6,4.0
1893-10-01,17.5,8.2,13.2,0.2
1893-11-01,12.3,1.4,6.3,-3.5
1893-12-01,13.0,-1.1,4.7,-6.8
1894-01-01,9.3,-7.9,6.1,-13.8
1894-02-01,10.8,-2.1,7.9,-8.0
1894-03-01,18.0,6.0,7.0,-1.3
1894-04-01,23.0,9.5,11.3,2.3
1894-05-01,26.3,8.1,14.7,1.5
1894-06-01,26.6,12.8,14.8,6.6
1894-07-01,29.9,15.8,16.6,8.9
1894-08-01,27.1,15.1,17.0,8.7
1894-09-01,22.6,11.5,13.2,4.5
1894-10-01,17.2,7.5,10.8,-0.2
1894-11-01,14.7,-0.1,11.2,-1.9
1894-12-01,9.2,1.9,5.0,-1.9
1895-01-01,10.4,-3.8,4.8,-15.3
1895-02-01,3.7,-10.5,0.4,-18.1
1895-03-01,12.2,-1.7,6.7,-8.3
1895-04-01,20.6,4.7,10.3,-1.4
1895-05-01,26.5,7.0,15.0,1.6
1895-06-01,26.1,13.3,14.3,3.7
1895-07-01,24.8,15.8,18.4,5.8
1895-08-01,29.1,16.8,19.2,8.2
1895-09-01,28.5,14.9,16.4,5.7
1895-10-01,21.9,4.5,12.9,-2.3
1895-11-01,17.9,0.2,12.4,-3.8
1895-12-01,11.5,-2.9,7.7,-11.4
1896-01-01,8.4,-2.0,6.6,-6.0
1896-02-01,13.9,-1.6,6.8,-7.7
1896-03-01,20.0,3.7,9.4,-1.2
1896-04-01,17.9,5.0,7.9,-0.9
1896-05-01,21.1,9.6,9.7,0.8
1896-06-01,27.1,11.6,17.1,7.4
1896-07-01,28.7,13.5,17.6,7.1
1896-08-01,21.3,14.4,15.5,6.1
1896-09-01,22.9,10.3,15.5,5.0
1896-10-01,19.9,6.9,13.2,1.2
1896-11-01,10.2,-0.6,4.3,-7.1
1896-12-01,8.7,-1.0,4.4,-5.7
1897-01-01,8.3,-3.8,3.9,-6.5
1897-02-01,14.3,1.6,6.1,-3.0
1897-03-01,17.8,4.0,9.1,0.3
1897-04-01,24.3,6.3,11.7,-1.0
1897-05-01,25.1,7.3,15.2,-0.1
1897-06-01,28.3,11.9,17.7,6.2
1897-07-01,25.1,17.1,15.9,8.4
1897-08-01,28.6,17.6,17.2,9.9
1897-09-01,23.3,10.8,14.0,5.1
1897-10-01,19.0,9.0,10.6,0.0
1897-11-01,17.3,0.5,9.0,-6.9
1897-12-01,12.7,-0.4,8.1,-6.0
1898-01-01,10.4,-0.2,6.9,-4.7
1898-02-01,9.9,2.4,6.1,-1.5
1898-03-01,9.8,-0.4,7.4,-3.7
1898-04-01,19.4,7.4,11.1,-0.1
1898-05-01,23.5,8.7,11.1,2.8
1898-06-01,24.2,12.9,14.4,5.0
1898-07-01,25.3,13.6,14.2,6.0
1898-08-01,32.2,16.2,20.1,8.5
1898-09-01,30.2,13.6,17.3,4.6
1898-10-01,18.9,10.5,13.5,3.3
1898-11-01,17.1,1.4,9.1,-2.2
1898-12-01,12.0,1.3,9.2,-4.8
1899-01-01,12.8,0.7,8.9,-7.2
1899-02-01,18.4,-0.7,11.7,-6.9
1899-03-01,14.5,1.2,7.7,-7.3
1899-04-01,15.5,7.1,9.8,-1.1
1899-05-01,22.5,7.9,11.5,1.1
1899-06-01,26.4,14.8,14.0,5.8
1899-07-01,28.7,11.9,18.3,8.3
1899-08-01,30.1,18.6,16.2,7.8
1899-09-01,28.5,12.1,16.9,5.2
1899-10-01,18.0,10.7,12.4,0.6
1899-11-01,19.0,6.1,13.1,-1.2
1899-12-01,9.2,-7.7,5.5,-15.5
1900-01-01,11.5,-1.5,8.5,-5.8
1900-02-01,17.2,-2.9,9.6,-12.2
1900-03-01,14.3,0.0,5.4,-4.5
1900-04-01,23.2,4.3,10.2,-2.8
1900-05-01,25.9,7.7,12.4,0.0
1900-06-01,29.2,13.0,16.6,8.2
1900-07-01,32.0,13.8,18.3,7.1
1900-08-01,27.2,13.5,16.4,8.1
1900-09-01,26.1,15.7,14.2,5.2
1900-10-01,23.0,9.4,12.3,-1.6
1900-11-01,16.4,2.4,10.4,0.1
1900-12-01,13.0,3.7,8.7,-4.1
1901-01-01,9.9,-6.6,6.1,-11.4
1901-02-01,8.4,-6.7,4.3,-14.8
1901-03-01,11.6,0.8,5.9,-6.0
1901-04-01,22.9,6.8,10.9,1.0
1901-05-01,26.8,9.5,15.2,1.7
1901-06-01,27.5,11.9,18.6,5.5
1901-07-01,31.0,18.4,17.2,10.4
1901-08-01,27.6,14.7,18.4,8.9
1901-09-01,24.2,13.3,17.0,5.7
1901-10-01,22.8,9.6,14.2,1.6
1901-11-01,12.1,1.9,8.5,-4.5
1901-12-01,13.2,-1.5,8.6,-7.5
1902-01-01,10.5,1.1,7.6,-2.6
1902-02-01,11.3,-3.7,5.9,-11.4
1902-03-01,13.5,4.9,7.4,-1.0
1902-04-01,19.9,7.1,10.2,0.0
1902-05-01,24.3,7.1,15.2,-0.1
1902-06-01,28.1,11.9,17.1,2.9
1902-07-01,27.0,13.2,15.4,5.2
1902-08-01,25.2,14.5,16.0,7.4
1902-09-01,25.0,9.9,15.7,3.7
1902-10-01,17.9,5.1,12.2,0.3
1902-11-01,16.3,-1.9,9.5,-8.6
1902-12-01,11.2,-6.8,6.7,-11.8
1903-01-01,11.4,-4.6,7.2,-9.0
1903-02-01,14.2,4.1,8.2,-3.2
1903-03-01,20.0,6.3,8.7,-2.5
1903-04-01,16.3,2.6,8.8,-2.6
1903-05-01,28.4,10.2,16.2,3.4
1903-06-01,28.7,10.9,17.3,4.1
1903-07-01,27.4,11.6,15.5,6.6
1903-08-01,23.6,15.1,14.6,8.7
1903-09-01,29.1,11.7,19.0,5.3
1903-10-01,21.0,9.6,15.2,3.4
1903-11-01,12.4,-0.8,8.4,-3.9
1903-12-01,9.8,-3.9,5.4,-8.5
1904-01-01,10.2,-4.2,5.2,-9.5
1904-02-01,10.1,-1.1,7.4,-7.2
1904-03-01,14.0,-1.0,6.9,-6.8
1904-04-01,24.5,7.5,10.9,0.1
1904-05-01,28.4,10.0,16.3,1.7
1904-06-01,25.9,11.0,14.6,6.1
1904-07-01,31.9,19.0,18.1,8.8
1904-08-01,30.9,15.9,19.3,8.0
1904-09-01,23.4,13.0,12.9,2.0
1904-10-01,18.4,5.8,12.2,0.3
1904-11-01,13.3,-0.7,6.8,-3.3
1904-12-01,11.8,1.5,7.8,-4.2
1905-01-01,9.9,-4.8,3.1,-11.0
1905-02-01,9.6,1.4,7.2,-2.9
1905-03-01,15.6,2.3,7.8,-1.1
1905-04-01,21.5,4.5,8.7,-1.8
1905-05-01,25.2,9.7,13.4,0.6
1905-06-01,28.3,12.1,16.6,9.2
1905-07-01,28.5,16.5,17.4,8.1
1905-08-01,26.4,13.4,14.8,9.3
1905-09-01,24.0,11.6,16.6,3.7
1905-10-01,12.5,3.3,7.9,-2.0
1905-11-01,13.2,0.2,7.4,-3.0
1905-12-01,12.2,-1.9,8.4,-5.9
1906-01-01,11.6,-0.8,6.6,-6.6
1906-02-01,10.0,-0.5,6.0,-4.0
1906-03-01,16.5,0.8,8.5,-3.5
1906-04-01,20.6,4.7,11.3,-0.6
1906-05-01,24.2,8.2,13.6,0.5
1906-06-01,25.9,11.8,14.5,5.0
1906-07-01,29.3,14.4,17.5,4.9
1906-08-01,29.5,15.2,17.1,7.6
1906-09-01,30.8,13.3,16.9,2.4
1906-10-01,23.2,10.9,13.3,2.4
1906-11-01,13.3,5.5,9.2,-2.1
1906-12-01,11.0,-4.2,7.8,-8.5
1907-01-01,9.2,-9.0,4.4,-13.3
1907-02-01,8.5,-4.1,5.1,-9.3
1907-03-01,19.4,4.2,8.2,-2.5
1907-04-01,18.4,6.4,8.9,-1.4
1907-05-01,27.5,4.8,17.0,0.3
1907-06-01,25.0,12.2,13.6,6.2
1907-07-01,24.3,10.8,15.2,5.3
1907-08-01,26.9,15.0,17.8,7.4
