date,delta_med,delta_lo,delta_hi
1892-01-01,15.410588365949602,14.350983949268644,16.61558542454233
1892-02-01,16.03105441178954,14.992058480842964,17.22460312377505
1892-03-01,18.222677360491584,17.18240647044419,19.351009851193595
1892-04-01,20.304717164528412,19.27380707329979,21.43820670394672
1892-05-01,22.60140480225018,21.585562477209763,23.757622064158692
1892-06-01,20.89855795090874,19.844009951562747,22.010373061386154
1892-07-01,20.31705931015248,19.28407614145205,21.38881467393849
1892-08-01,19.45505912373322,18.43250950163258,20.488654535410756
1892-09-01,19.267611200095097,18.28461203533163,20.34088799650014
1892-10-01,17.81344974419916,16.785230072329423,18.870877889104047
1892-11-01,15.983944060456714,14.990058690154749,17.05466742965189
1892-12-01,15.082366575081256,14.053427794513105,16.151671433365603
1893-01-01,15.34815716969675,14.374940385192216,16.380602936998496
1893-02-01,15.961199376364169,15.001318382567792,16.975110180389294
1893-03-01,18.144895217094316,17.17685942804888,19.111309593918456
1893-04-01,20.221335541015073,19.281783640093032,21.196535286206863
1893-05-01,22.504184790258996,21.574944247164844,23.54137604621032
1893-06-01,20.805706629272077,19.842004443836245,21.781778799230413
1893-07-01,20.22141603423897,19.259918063802235,21.171629950950834
1893-08-01,19.34780341137406,18.404061996011805,20.27630627392698
1893-09-01,19.16603543530086,18.252923628889672,20.1422562329511
1893-10-01,17.708748785987794,16.753833594226847,18.656390578622712
1893-11-01,15.874181671766268,14.947754291279912,16.847214121748532
1893-12-01,14.974895853578627,14.004344146339104,15.923950530486096
1894-01-01,15.229902307544894,14.301120089497507,16.193071199785578
1894-02-01,15.835368129044673,14.923184614479743,16.774932758369552
1894-03-01,18.015857494069383,17.092717756427778,18.909501799776887
1894-04-01,20.088864500367634,19.19380047624925,20.989993804387197
1894-05-01,22.376027342968435,21.4683679821075,23.348220011048657
1894-06-01,20.677983897360825,19.734396013371228,21.580858366971587
1894-07-01,20.096150617068865,19.164434242574835,20.976044821440034
1894-08-01,19.22046851247022,18.30593768681815,20.0736778036465
1894-09-01,19.05355413535504,18.15875390767956,19.986824584083713
1894-10-01,17.600707025815147,16.66902341342049,18.49223776498909
1894-11-01,15.761319403021862,14.856176116758949,16.688387774708385
1894-12-01,14.876783823014994,13.939607453462155,15.779686892689067
1895-01-01,15.13571976411537,14.224776238599969,16.05503712197971
1895-02-01,15.755882968178128,14.87106510453715,16.665943783810793
1895-03-01,17.950784053265956,17.058688410910225,18.80243802526574
1895-04-01,20.030465443028987,19.151426796324042,20.896874291753768
1895-05-01,22.329272180668816,21.43565346792029,23.278763575514855
1895-06-01,20.638243639489442,19.721551020770868,21.523255715913912
1895-07-01,20.059968266040574,19.13023075033916,20.911914865508944
1895-08-01,19.1777613773606,18.301468696370716,20.024320717091634
1895-09-01,19.023905770938214,18.149879187730793,19.93332410235271
1895-10-01,17.57204129329559,16.655605743165108,18.4493645178796
1895-11-01,15.729073647525476,14.856275549454388,16.63547118397738
1895-12-01,14.851027417722097,13.93297070148717,15.732698492376187
1896-01-01,15.09981711350959,14.231212548849873,15.99346808998464
1896-02-01,15.7184834869084,14.856787818358349,16.60005699409194
1896-03-01,17.900353069099644,17.019389840218057,18.737160095943256
1896-04-01,19.974883723775285,19.100928919058642,20.82274377760275
1896-05-01,22.27381829927185,21.38528510322041,23.199659692071638
1896-06-01,20.570663421229956,19.66855576997657,21.43263594251109
1896-07-01,19.998472474010057,19.095247236165722,20.82462796444516
1896-08-01,19.105150248609696,18.24774149424305,19.933647029597854
1896-09-01,18.954681110044113,18.082883356221807,19.83153207142525
1896-10-01,17.489140556323367,16.590549089055887,18.346999706570728
1896-11-01,15.651640442960762,14.781684235637556,16.52911185737929
1896-12-01,14.781180565860181,13.867751225643039,15.64968917464182
1897-01-01,15.028496580059265,14.145057819348587,15.908463959351819
1897-02-01,15.648496690570326,14.786871630555227,16.52415036187586
1897-03-01,17.838862281562342,16.955504794013326,18.666388041134006
1897-04-01,19.92706372658005,19.04625604677303,20.76609772196806
1897-05-01,22.226278762699195,21.331877111506547,23.157855467239287
1897-06-01,20.541282536034913,19.63782122750673,21.37199517883158
1897-07-01,19.96034382343425,19.046798898433856,20.802557007517883
1897-08-01,19.08054800071616,18.20496516754115,19.896352236122926
1897-09-01,18.933495357808905,18.06023648089129,19.80870897844453
1897-10-01,17.474476458274264,16.595590597853427,18.33685067274701
1897-11-01,15.640533457161611,14.779424992842857,16.515469500849207
1897-12-01,14.782924351411472,13.867148140305012,15.638709725219638
1898-01-01,15.03304334467053,14.155452769633799,15.90148621179327
1898-02-01,15.65238232258921,14.80546062150866,16.528053450411615
1898-03-01,17.851533939689226,16.98436790647046,18.68216975822326
1898-04-01,19.94416946066901,19.067014088563077,20.784671224424923
1898-05-01,22.251466750556578,21.373774175070015,23.187236895187112
1898-06-01,20.57260622263087,19.695377167584038,21.413543362909273
1898-07-01,20.008030465625602,19.101973865805217,20.851795897124685
1898-08-01,19.139389382924957,18.283078394675965,19.944611665509544
1898-09-01,19.002874802820184,18.143906671644963,19.881416028987132
1898-10-01,17.541563277323718,16.676585117873373,18.406005554587466
1898-11-01,15.70988031994251,14.871361846834528,16.582139502335846
1898-12-01,14.868058739651769,13.980498536479695,15.716085177383556
1899-01-01,15.118023130322038,14.251034163971756,15.98320173742224
1899-02-01,15.751331234297396,14.928436664402831,16.618390858090233
1899-03-01,17.953071425085337,17.08216911381948,18.776153849833424
1899-04-01,20.030584165751392,19.178146393712208,20.877427939772918
1899-05-01,22.332709725863122,21.48668278964452,23.27688103702063
1899-06-01,20.65605110279496,19.78026547244244,21.49690577031956
1899-07-01,20.09116118542553,19.20789307571989,20.916018551375686
1899-08-01,19.20430316512515,18.367629542504638,20.03419362172959
1899-09-01,19.07153275187492,18.222497274955284,19.96653388036097
1899-10-01,17.612484135362685,16.764121192756726,18.472786518105767
1899-11-01,15.772268821265524,14.936673421565551,16.637421671184654
1899-12-01,14.923270107026436,14.0415575934997,15.792556217782138
1900-01-01,15.164371207659393,14.312348602080565,16.03910707498989
1900-02-01,15.794903271486326,14.96303563333191,16.653174456230207
1900-03-01,17.989619799190336,17.128100163243992,18.82938390593158
1900-04-01,20.06166319939283,19.212603727727675,20.9036522502246
1900-05-01,22.363900599594636,21.508607502800807,23.308520122971288
1900-06-01,20.68121476712728,19.823262575703602,21.506019180414615
1900-07-01,20.10114375589771,19.23240011270076,20.942659285273194
1900-08-01,19.20391225920337,18.368568014814258,20.026009471361938
1900-09-01,19.06379028319234,18.2196445069794,19.95791006017326
1900-10-01,17.602624206001238,16.75097867191025,18.454552980957494
1900-11-01,15.74106280703531,14.899724683108088,16.598311653637506
1900-12-01,14.898454489913115,14.021949735672953,15.759250088400991
1901-01-01,15.134918049562714,14.293159471382134,16.00002870472783
1901-02-01,15.754383020411371,14.929532733158641,16.595789665384586
1901-03-01,17.954425346882605,17.10908447788516,18.786958817764244
1901-04-01,20.01197875740432,19.187585829424133,20.855996913211875
1901-05-01,22.327349011032503,21.47815991378254,23.24314791210052
1901-06-01,20.635002710254952,19.78232622064613,21.455318147507302
1901-07-01,20.06289637549152,19.200898045327605,20.88412795842616
1901-08-01,19.160181769989656,18.34729844110528,19.964139274468632
1901-09-01,19.02018235536863,18.199988808388355,19.901997284416748
1901-10-01,17.57186916000262,16.738336183398054,18.405600226108128
1901-11-01,15.708706859679172,14.872014649598682,16.55424688916033
1901-12-01,14.877537837987564,14.012717052558171,15.73770868225009
1902-01-01,15.109334035480053,14.280755923838559,15.962537434972093
1902-02-01,15.73166557042433,14.921588016282369,16.565938946928046
1902-03-01,17.945999389476132,17.104866251438185,18.768623868393092
1902-04-01,20.00554646684582,19.17780703703185,20.847847966407386
1902-05-01,22.32660703031043,21.48762454878087,23.234950178526187
1902-06-01,20.647675737172552,19.787849462513798,21.46907063774019
1902-07-01,20.080842148126088,19.218807474148335,20.904738558993
1902-08-01,19.17468776371696,18.353821709541734,19.99096450048687
1902-09-01,19.047149438915845,18.22180880281132,19.944241494602945
1902-10-01,17.599233913006103,16.761952918552137,18.433568006821385
1902-11-01,15.732806225653697,14.885807110966566,16.589866220890976
1902-12-01,14.905018370250659,14.048346234031598,15.768580464354711
1903-01-01,15.127692995584209,14.303350732612996,15.978199402427219
1903-02-01,15.739682423736422,14.94042255207335,16.589587892375476
1903-03-01,17.962271653237288,17.134056781480243,18.781938688679205
1903-04-01,20.009784558006466,19.17083694725476,20.842752784275614
1903-05-01,22.32517537315901,21.48669251628593,23.23778751962493
