time,cycle,phase,y,eta,level,slope,seasonal
1,1,1,23.352234346989366,24.755839262442418,25.0,0.0,-0.24416073755758286
2,1,2,24.646353841450612,24.9061750719408,25.0,0.0,-0.09382492805919962
3,1,3,24.155364152142955,25.280064339210405,25.0,0.0,0.28006433921040363
4,1,4,25.169389419188178,25.100681266901525,25.0,0.0,0.10068126690152548
5,2,1,24.992848108802242,24.70060047513165,25.0,0.0,-0.2993995248683478
6,2,2,23.781033730208105,24.94401933778417,25.0,0.0,-0.055980662215828814
7,2,3,26.129761806955486,25.349763059713595,25.0,0.0,0.34976305971359484
8,2,4,22.780687964481466,25.001026626559828,25.0,0.0,0.0010266265598271153
9,3,1,22.757364953129425,24.645849760035347,25.0,0.0,-0.35415023996465145
10,3,2,23.615158648853875,25.031643333562634,25.0,0.0,0.03164333356263414
11,3,3,25.241896270442435,25.274930040850442,25.0,0.0,0.2749300408504425
12,3,4,28.67007279273771,25.09820037263932,25.0,0.0,0.09820037263931959
13,4,1,23.824948459336845,24.57048379693926,25.0,0.0,-0.4295162030607409
14,4,2,22.92864467450116,25.09226673987187,25.0,0.0,0.09226673987187128
15,4,3,24.932323657441565,25.243443516915637,25.0,0.0,0.24344351691563754
16,4,4,25.336713894530927,25.11616576480794,25.0,0.0,0.11616576480793925
17,5,1,24.610430314067816,24.594521063772834,25.0,0.0,-0.405478936227165
18,5,2,27.340969869017492,25.07464391037234,25.0,0.0,0.07464391037234103
19,5,3,29.52903610053989,25.274987032245722,25.0,0.0,0.2749870322457222
20,5,4,26.49503675114633,25.06232509731466,25.0,0.0,0.06232509731465772
21,6,1,26.278142405266262,24.598843972611768,25.0,0.0,-0.4011560273882313
22,6,2,21.686673163014238,24.988382524424487,25.0,0.0,-0.011617475575512709
23,6,3,25.424446530081223,25.36219048902421,25.0,0.0,0.3621904890242118
24,6,4,26.56413079479658,25.070690154686414,25.0,0.0,0.07069015468641301
25,7,1,24.64314295976259,24.522679952488332,25.0,0.0,-0.4773200475116683
26,7,2,26.93773109969398,25.12336294076239,25.0,0.0,0.12336294076239071
27,7,3,25.230320994149533,25.30433233946268,25.0,0.0,0.30433233946267746
28,7,4,26.830010518442954,25.084692336117932,25.0,0.0,0.08469233611793206
29,8,1,23.71616797508828,24.443426776444262,25.0,0.0,-0.5565732235557379
30,8,2,26.656244641192153,25.054599034265802,25.0,0.0,0.05459903426580057
31,8,3,25.625381284509558,25.37086124935522,25.0,0.0,0.37086124935522025
32,8,4,24.69177750784111,25.130860337439085,25.0,0.0,0.1308603374390832
33,9,1,23.46329426431529,24.42620069188783,25.0,0.0,-0.5737993081121716
34,9,2,24.50651451619085,24.98145911323573,25.0,0.0,-0.018540886764270237
35,9,3,23.82499571925274,25.527399143876096,25.0,0.0,0.5273991438760971
36,9,4,24.329694632792556,24.987839213489785,25.0,0.0,-0.01216078651021335
37,10,1,22.858400559113342,24.484445676772054,25.0,0.0,-0.5155543232279465
