,lower,median,upper
alpha0,18.07030200061592,18.64631423902496,19.21461701403146
s_level,-0.05095235822424669,0.00015372658743619243,0.050627713579632215
q_level,3.859545009542862e-06,0.0006733640176600928,0.003394588106959471
sigma,2.615651586584163,2.7199000992332256,2.837875929820358
sigma2,6.841633222521861,7.39785654980891,8.053539793053762
xi,-0.2904940171669309,-0.26812640688152906,-0.24465618792203453
beta0,-0.0036171329487060576,0.001171176411435422,0.005033846627278096
s_trend,-0.0003893380320191984,5.512606937284655e-06,0.0003948101307672806
q_trend,3.006361771311591e-10,3.040445061326057e-08,2.3339791306887883e-07
s_season,-0.02661191374430251,0.0002923177422209226,0.026959841720174196
q_season,9.10867880774668e-07,0.00012475799689750592,0.0009989005251615144
lambda2_level,0.37850811438723214,1.6311973497069197,4.585942779691204
lambda2_trend,0.33827959182812367,1.5932133354497822,4.591344096647198
lambda2_season,0.4705458210493659,1.8949216595481664,5.029283105457986
tau_level,0.07809520203885946,0.985966211550102,5.7040990152383255
tau_trend,0.09449682065419478,1.0488545427761824,6.881896348324389
tau_season,0.04037012353875421,0.5628701120738064,4.094026236268959
