,lower,median,upper
alpha0,10.165743858602625,10.698460835199949,11.120441469247758
s_level,-0.027010125055464115,0.0004560020348467838,0.026627606593813392
q_level,7.24836643298815e-07,0.00010046083085626137,0.0012739431876447487
sigma,2.23431398618267,2.3528089683786373,2.4901908083117394
sigma2,4.992158988851492,5.535710041682948,6.201050261800274
xi,-0.3270362513602095,-0.29186279780477686,-0.26622007638120604
beta0,-0.005086187973199222,-0.0008488667321648099,0.0024721799552454367
s_trend,-0.0002473263276937022,-2.71008038106422e-05,0.00023713056899601814
q_trend,7.715301230312554e-10,1.3396045483883214e-08,8.910259103971024e-08
s_season,-0.018774492594997437,-0.0004906893644735754,0.018996358172298947
q_season,3.24112698044143e-07,4.177453833676972e-05,0.0006042261353501151
lambda2_level,0.4916466027317158,1.8501978356372684,4.899310887309744
lambda2_trend,0.42453483475604337,1.700823198112424,4.713550335988656
lambda2_season,0.5045213742991842,1.9099608268352202,5.139759766442572
tau_level,0.03924824695019236,0.5188305346532033,3.8456378685705945
tau_trend,0.08535124744238418,0.7730699491632358,4.4504565327644
tau_season,0.026509863489143852,0.4132082448088679,3.3323363316244214
