,lower,median,upper
alpha0,5.072864856226872,5.431760688346147,5.7849626076473974
s_level,-0.020871025761187965,-0.00012301072373896264,0.020501902018744578
q_level,4.673422251763486e-07,6.938742687783891e-05,0.0006202070083689507
sigma,2.1707182185787515,2.297569213441282,2.4218206598159755
sigma2,4.712017584474439,5.278824290553286,5.865215308586374
beta0,-0.0012223250381684873,0.0007652252283985718,0.0027843746980895285
s_trend,-0.00012739850647893795,1.9628616296353737e-06,0.00013343140768529393
q_trend,1.7153438517322154e-10,3.718354205177345e-09,2.571007413680631e-08
s_season,-0.013124340109479727,3.9122629212611155e-05,0.01338685167754979
q_season,1.8859951278397615e-07,2.4779931647564292e-05,0.00026301740977670675
lambda2_level,0.482784202571552,1.9352202634985955,5.049411059689307
lambda2_trend,0.4953692980391828,1.9479113403458328,5.008247176385842
lambda2_season,0.5317711843898975,2.0413101469209525,5.284396840196464
tau_level,0.03180687467436409,0.48291465648740006,3.592869004931632
tau_trend,0.045451737285455006,0.486933121731151,3.5864087426826408
tau_season,0.02128550129430447,0.3788231975040504,3.122261391627534
