series,period,start_year,end_year,median_C_per_decade,lower_C_per_decade,upper_C_per_decade,probability_positive
TXm,Early 1892–1949,1892,1949,0.18207996423133685,0.02804663706042743,0.3894229101353607,0.9725
TXm,Mid-century 1950–1979,1950,1979,0.11498169640226297,-0.06844179137898242,0.365871308489632,0.8458333333333333
TXm,Recent 1980–2022,1980,2022,0.35509987710461677,0.10824266006148203,0.5479034502489983,0.9925
TNm,Early 1892–1949,1892,1949,0.09510174768783206,0.0009763507768101795,0.21949435628412273,0.9525
TNm,Mid-century 1950–1979,1950,1979,0.18074007705501,0.06788910515014483,0.2791047795688206,0.9916666666666667
TNm,Recent 1980–2022,1980,2022,0.29268798908843313,0.1468301274829346,0.42536234190472677,0.9958333333333333
TXx,Early 1892–1949,1892,1949,0.1811800505804672,-0.04061908137130465,0.3810047175715318,0.9175
TXx,Mid-century 1950–1979,1950,1979,0.04901072424373901,-0.24192001540669258,0.36650276161511836,0.5975
TXx,Recent 1980–2022,1980,2022,0.5060035186122354,0.14385425391039008,0.7664452346778683,0.9866666666666667
TXn,Early 1892–1949,1892,1949,0.1350556470794224,-0.03440140828390201,0.2724981676886666,0.9075
TXn,Mid-century 1950–1979,1950,1979,0.16346558251847687,0.013231830341299114,0.299693632046899,0.9591666666666666
TXn,Recent 1980–2022,1980,2022,0.3351810445275011,0.15350223325097206,0.5321855547779697,0.995
TNx,Early 1892–1949,1892,1949,0.03994809044728329,-0.08881358536678512,0.16722345514274378,0.7241666666666666
TNx,Mid-century 1950–1979,1950,1979,0.11198149794270355,-0.07395278554854158,0.2522609154729717,0.87
TNx,Recent 1980–2022,1980,2022,0.30251837185643365,0.060420606597687054,0.48717447094793614,0.9875
TNn,Early 1892–1949,1892,1949,0.07190683679352344,-0.1217282651261691,0.23981046831294903,0.7541666666666667
TNn,Mid-century 1950–1979,1950,1979,0.21457992367862178,0.08867061624366733,0.32881104781401604,0.9908333333333333
TNn,Recent 1980–2022,1980,2022,0.2939700271121116,0.1307408291054131,0.450486327517499,0.9975
