time,observed,lower,median,upper,truth
1,23.352234346989366,24.331005523619982,24.513021329499267,24.697626324883718,24.755839262442414
2,24.64635384145061,24.26390825938255,24.491978321426462,24.757602878806896,24.9061750719408
3,24.155364152142955,25.813543373070424,26.029448940039757,26.21331063048941,25.280064339210405
4,25.169389419188175,24.730026031080964,24.95355696301662,25.126842655790178,25.100681266901525
5,24.99284810880224,24.398750068349198,24.57298500930525,24.752883743022178,24.70060047513165
6,23.781033730208105,24.310963628595683,24.541703378531764,24.81425186603345,24.94401933778417
7,26.12976180695549,25.691037155087834,25.916779958618363,26.105087521751237,25.349763059713595
8,22.780687964481466,24.631721087286056,24.858557423813885,25.042673846129066,25.001026626559828
9,22.757364953129425,24.460474587169468,24.625546078760213,24.801316940583767,24.645849760035347
10,23.615158648853875,24.360948762177095,24.597139438033896,24.878665553197123,25.031643333562634
11,25.241896270442435,25.75053293049353,25.969102872544273,26.156117341145563,25.27493004085044
12,28.67007279273771,24.635934800007146,24.862983282355337,25.045816402172388,25.09820037263932
13,23.824948459336845,24.328608301732515,24.510907281515436,24.69539191023625,24.57048379693926
14,22.92864467450116,24.381241764252195,24.623422083056507,24.907803095959764,25.09226673987187
15,24.932323657441565,25.83354555179982,26.0492449836359,26.233200732512607,25.24344351691564
16,25.336713894530927,24.532423539479773,24.76548771366388,24.952247729977977,25.11616576480794
17,24.610430314067816,24.418559527439424,24.58952379996363,24.768255883229973,24.594521063772834
18,27.34096986901749,24.397071842042013,24.643670397335597,24.930532585013662,25.07464391037234
19,29.52903610053989,25.779468533432226,25.995177610507085,26.178197546975156,25.27498703224572
20,26.49503675114633,24.530600961649935,24.763637106864792,24.95048276308399,25.06232509731466
21,26.278142405266266,24.383474529498383,24.559566764079264,24.74025919290148,24.598843972611768
22,21.68667316301424,24.396839170115392,24.643380264921184,24.930198504911242,24.988382524424487
23,25.424446530081223,25.82784849867543,26.0430008158177,26.22719428801505,25.36219048902421
24,26.56413079479658,24.447481032735986,24.684035570549632,24.87954657560744,25.07069015468641
25,24.64314295976259,24.50964759537276,24.6698339313798,24.838601225968624,24.52267995248833
26,26.93773109969398,24.28767241473856,24.51897557228451,24.788197221296404,25.12336294076239
27,25.230320994149533,25.90650613625177,26.11246069279109,26.297913041027574,25.30433233946268
28,26.830010518442958,24.55572070351781,24.788318578987298,24.974808480239364,25.08469233611793
29,23.71616797508828,24.445103273430888,24.61194854926984,24.789604773100653,24.443426776444262
30,26.656244641192156,24.313831258250204,24.544446425049756,24.817459731125602,25.0545990342658
31,25.62538128450956,25.783658433293443,25.998829773412538,26.18219810062834,25.37086124935522
32,24.69177750784111,24.581685228185364,24.808914550276896,24.99686807468033,25.130860337439085
33,23.46329426431529,24.46579929020163,24.630054312297194,24.804960280060513,24.42620069188783
34,24.50651451619085,24.361913837468958,24.598307283617526,24.880051248742898,24.98145911323573
35,23.82499571925274,25.73546472148309,25.955846273342893,26.143917719637027,25.527399143876096
36,24.32969463279256,24.413493225619465,24.654465753007678,24.847078040415514,24.987839213489785
37,22.858400559113345,24.56283069345199,24.717717354075646,24.878560270496433,24.48444567677205
38,24.46168040702803,24.409746030102188,24.660153763953275,24.948730715345405,24.88109718092553
39,26.182012720764945,25.71144682090823,25.93365708829974,26.120571246151368,25.638904285566387
40,24.885305373475127,24.430166741202097,24.668605999232632,24.862650225870443,24.996696185756274
41,25.460155205125552,24.49067976726364,24.65263659147636,24.823794662058237,24.550925242387763
42,23.403337165402533,24.479230413834284,24.752772984804636,25.05308944988174,24.733316651755537
