tag,model,T,period,sigma_true,q_true,time_sec,rmse_mu,cov90_mu,mlpd,qalpha_mean,qalpha_median
T500_P12_sig2.0_q1e-08_rep1,IG,500,12,2.0,1e-08,219.7666175365448,0.2594575035596696,0.89,-2.1168875677008874,0.005307441331561366,0.004896256249868
T500_P12_sig2.0_q1e-08_rep1,PC,500,12,2.0,1e-08,228.7868037223816,0.1343259347887981,1.0,-2.133231294864663,1.2086605998878806e-07,1.1426135168309146e-07
T500_P12_sig2.0_q1e-08_rep2,IG,500,12,2.0,1e-08,225.3919985294342,0.13703152966245397,1.0,-2.129001663704289,0.0035215798446492624,0.0032548507470254113
T500_P12_sig2.0_q1e-08_rep2,PC,500,12,2.0,1e-08,284.3420171737671,0.059036963283274874,1.0,-2.137169286368328,1.2086605998878806e-07,1.1426135168309146e-07
T500_P12_sig2.0_q1e-08_rep3,IG,500,12,2.0,1e-08,222.17122507095337,0.13703152966245397,1.0,-2.129001663704289,0.0035215798446492624,0.0032548507470254113
T500_P12_sig2.0_q1e-08_rep3,PC,500,12,2.0,1e-08,262.13038659095764,0.059036963283274874,1.0,-2.137169286368328,1.2086605998878806e-07,1.1426135168309146e-07
T500_P12_sig2.0_q1e-06_rep1,IG,500,12,2.0,1e-06,258.03016352653503,0.13789983087181282,1.0,-2.1289225355484125,0.003510274220878706,0.003242693275115854
T500_P12_sig2.0_q1e-06_rep1,PC,500,12,2.0,1e-06,294.60589146614075,0.05999199933772391,1.0,-2.1368467756036327,1.625287063048192e-05,1.4365913181272372e-05
T500_P12_sig2.0_q1e-06_rep2,IG,500,12,2.0,1e-06,259.67373275756836,0.13789983087181282,1.0,-2.1289225355484125,0.003510274220878706,0.003242693275115854
T500_P12_sig2.0_q1e-06_rep2,PC,500,12,2.0,1e-06,307.2323064804077,0.05999199933772391,1.0,-2.1368467756036327,1.625287063048192e-05,1.4365913181272372e-05
T500_P12_sig2.0_q1e-06_rep3,IG,500,12,2.0,1e-06,301.0232570171356,0.13789983087181282,1.0,-2.1289225355484125,0.003510274220878706,0.003242693275115854
T500_P12_sig2.0_q1e-06_rep3,PC,500,12,2.0,1e-06,359.88003396987915,0.05999199933772391,1.0,-2.1368467756036327,1.625287063048192e-05,1.4365913181272372e-05
T500_P12_sig2.0_q1e-04_rep1,IG,500,12,2.0,0.0001,327.3143398761749,0.14933457586985815,1.0,-2.1281788636575625,0.0034289522040783812,0.0031553712810901604
T500_P12_sig2.0_q1e-04_rep1,PC,500,12,2.0,0.0001,299.38520979881287,0.0972176979765561,1.0,-2.133496035903193,0.00042562234989382996,0.00039583232191965227
T500_P12_sig2.0_q1e-04_rep2,IG,500,12,2.0,0.0001,336.0672097206116,0.14933457586985815,1.0,-2.1281788636575625,0.0034289522040783812,0.0031553712810901604
T500_P12_sig2.0_q1e-04_rep2,PC,500,12,2.0,0.0001,325.2857418060303,0.0972176979765561,1.0,-2.133496035903193,0.00042562234989382996,0.00039583232191965227
T500_P12_sig2.0_q1e-04_rep3,IG,500,12,2.0,0.0001,321.16260385513306,0.14933457586985815,1.0,-2.1281788636575625,0.0034289522040783812,0.0031553712810901604
T500_P12_sig2.0_q1e-04_rep3,PC,500,12,2.0,0.0001,327.1090307235718,0.0972176979765561,1.0,-2.133496035903193,0.00042562234989382996,0.00039583232191965227
T500_P12_sig2.0_q1e-02_rep1,IG,500,12,2.0,0.01,322.111775636673,0.35217060903590525,0.796,-2.126113519590472,0.005274019430052313,0.004836746787996353
T500_P12_sig2.0_q1e-02_rep1,PC,500,12,2.0,0.01,330.9978914260864,0.3669873563341735,0.754,-2.1285613229117653,0.0039072420119715765,0.00373387466009687
T500_P12_sig2.0_q1e-02_rep2,IG,500,12,2.0,0.01,317.55385541915894,0.35217060903590525,0.796,-2.126113519590472,0.005274019430052313,0.004836746787996353
T500_P12_sig2.0_q1e-02_rep2,PC,500,12,2.0,0.01,326.5315079689026,0.3669873563341735,0.754,-2.1285613229117653,0.0039072420119715765,0.00373387466009687
T500_P12_sig2.0_q1e-02_rep3,IG,500,12,2.0,0.01,314.2431342601776,0.35217060903590525,0.796,-2.126113519590472,0.005274019430052313,0.004836746787996353
T500_P12_sig2.0_q1e-02_rep3,PC,500,12,2.0,0.01,321.47958397865295,0.3669873563341735,0.754,-2.1285613229117653,0.0039072420119715765,0.00373387466009687
