parameter,lower,median,upper
alpha0,18.08153124601166,18.649259933759378,19.222195889787493
s_level,-0.051142775564421324,0.0009407204966200454,0.050933954772159465
q_level,3.789679393746632e-06,0.000680393302604218,0.003348927852840056
sigma,2.614720251730781,2.7189436524985826,2.8363596845755814
sigma2,6.836761994811078,7.392654585462601,8.044936260285692
xi,-0.29020336085258935,-0.2681780723033271,-0.24502921250523216
beta0,-0.0037166084130393247,0.0010669404063287304,0.005020816871838821
s_trend,-0.0003791318945217077,7.661112525761629e-06,0.00038524478281086087
q_trend,2.808915545469867e-10,2.9824754425749674e-08,2.1360972334798426e-07
s_season,-0.02681824449559379,8.035399991904862e-05,0.02556089241559615
q_season,7.034066727508435e-07,0.0001223897069700716,0.0009646182539437023
lambda2_level,0.3677923705945023,1.6240130078337536,4.665655028087494
lambda2_trend,0.34412096825354643,1.5953850603583297,4.565202506741363
lambda2_season,0.47119377161369447,1.9088678659634253,4.973913092326247
tau_level,0.07801729269428134,1.0013956774078463,5.911996686722764
tau_trend,0.09622993269359659,1.045136060007147,6.670464002410964
tau_season,0.03841763488417011,0.5454673058161024,4.076647772630999
