parameter,lower,median,upper
alpha0,10.14354219852455,10.672663909251321,11.100682913799368
s_level,-0.026035435226665078,-0.00017121607889044655,0.02355948210275068
q_level,5.409498041081763e-07,0.00010325059444402882,0.0008897953504950235
sigma,2.234695504546504,2.3548304331009544,2.488846794529176
sigma2,4.9938639980403545,5.545226368658429,6.194358369106244
xi,-0.32270680082988124,-0.2914552422621931,-0.26572891516450103
beta0,-0.004707498083816084,-0.000470590445875955,0.0024630460053887116
s_trend,-0.0002583357790252085,-9.179534841993847e-06,0.00023505688496172825
q_trend,6.269117072832864e-10,1.2509431290107906e-08,8.910259103971024e-08
s_season,-0.01765065343860469,-2.7540355349395034e-05,0.018354349393992594
q_season,3.624479383014628e-07,4.5582011904149756e-05,0.0005105465612116923
lambda2_level,0.5227494189953364,1.8868494960365605,5.002420249378983
lambda2_trend,0.3785561947947832,1.7137764673205562,4.785112925678613
lambda2_season,0.526490028293991,1.9693668183731203,5.240886973921865
tau_level,0.03623030516373076,0.5049686578705718,3.642044368851182
tau_trend,0.08369099135759561,0.7426770274543127,4.477352114320726
tau_season,0.026816106913241423,0.43795093535035545,3.2682250038590848
