parameter,lower,median,upper
alpha0,5.079460662060627,5.436377909135978,5.790132792845791
s_level,-0.02047921460885838,-4.247818135545006e-05,0.020666521403994956
q_level,3.7855648216151163e-07,6.767480717080306e-05,0.0006132343997636785
sigma,2.1735283058398305,2.297455038861621,2.421287854082967
sigma2,4.7242252965669005,5.278299655626736,5.86263487298729
beta0,-0.0013138291746944547,0.0007349467674979886,0.002641309157521582
s_trend,-0.00012906761674512788,-2.457845689620509e-07,0.00013332634630040875
q_trend,1.740782796059359e-10,3.756679318908133e-09,2.613008608765464e-08
s_season,-0.01302810196746461,-2.9107750484519135e-06,0.013460344898495518
q_season,1.9671140051792744e-07,2.5594361989565546e-05,0.0002679512814522491
lambda2_level,0.49414342505654374,1.9447163117646178,5.090994664719437
lambda2_trend,0.48517718763445117,1.9557163807462914,5.044046132155482
lambda2_season,0.5248132688937366,2.0326416188502074,5.196713257871195
tau_level,0.031596480398935846,0.47791518804101313,3.511187748897777
tau_trend,0.05010698789177225,0.49865519618730747,3.636443567043685
tau_season,0.02061779290011072,0.38055350792293163,3.232488547105213
