parameter,lower,median,upper
alpha0,-7.321864864276605,-6.740815727897992,-6.056869211007279
s_level,-0.026905857989778553,0.00025569922822729803,0.027965188802646253
q_level,9.273835462744615e-07,0.0001382198739362454,0.0011273051014927718
sigma,2.8148756762711917,2.9394363681634763,3.0682230871845837
sigma2,7.9235250777618536,8.640286177094485,9.413992934839893
xi,-0.2429052722332225,-0.22345386878150292,-0.20141732695926245
beta0,-0.002746597281282471,0.0002571572307461822,0.004492412501938593
s_trend,-0.00016291573660235322,4.4978874859804686e-06,0.0001653296864342429
q_trend,1.3470197307001692e-10,5.637414318714446e-09,3.812680299385692e-08
s_season,-0.016210838767458068,-2.13021403138642e-06,0.015558144807756169
q_season,2.773651999831863e-07,3.370427153656223e-05,0.00036457137122957887
lambda2_level,0.4782847820900012,1.9148278871946656,5.114365599413111
lambda2_trend,0.46752918788170983,1.8644514829303755,5.010515784023409
lambda2_season,0.4921562476071805,1.9582188790508304,5.184948042532638
tau_level,0.040869078863331645,0.5663559135812959,3.9733846384214306
tau_trend,0.04958022460853658,0.5330491079039921,3.871250178450927
tau_season,0.024431927403571727,0.4277205154121303,3.5389542524150066
