time,cycle,phase,y,eta,level,slope,seasonal
1,1,1,25.628837710387035,25.006,25.006,0.006,0.0
2,1,2,23.55498176627935,25.012,25.012,0.006,0.0
3,1,3,24.915389632474955,25.018,25.018,0.006,0.0
4,1,4,25.7096657666877,25.024,25.024,0.006,0.0
5,2,1,25.571029970800275,25.03,25.03,0.006,0.0
6,2,2,28.08238022308695,25.036,25.036,0.006,0.0
7,2,3,27.818346510763774,25.042,25.042,0.006,0.0
8,2,4,28.25295539640473,25.048000000000002,25.048000000000002,0.006,0.0
9,3,1,26.549099234558728,25.054000000000002,25.054000000000002,0.006,0.0
10,3,2,24.796512582275522,25.060000000000002,25.060000000000002,0.006,0.0
11,3,3,23.988056218894194,25.066000000000003,25.066000000000003,0.006,0.0
12,3,4,25.133696333175223,25.072000000000003,25.072000000000003,0.006,0.0
13,4,1,26.954776043369144,25.078000000000003,25.078000000000003,0.006,0.0
14,4,2,25.76592114517313,25.084000000000003,25.084000000000003,0.006,0.0
15,4,3,27.368668740342713,25.090000000000003,25.090000000000003,0.006,0.0
16,4,4,26.605921409641887,25.096000000000004,25.096000000000004,0.006,0.0
17,5,1,25.72442195691143,25.102000000000004,25.102000000000004,0.006,0.0
18,5,2,29.07627383453162,25.108000000000004,25.108000000000004,0.006,0.0
19,5,3,24.443008328334887,25.114000000000004,25.114000000000004,0.006,0.0
20,5,4,23.84644285077905,25.120000000000005,25.120000000000005,0.006,0.0
21,6,1,25.168839216244077,25.126000000000005,25.126000000000005,0.006,0.0
22,6,2,26.435082089395472,25.132000000000005,25.132000000000005,0.006,0.0
23,6,3,26.727669658606327,25.138000000000005,25.138000000000005,0.006,0.0
24,6,4,26.072012190143347,25.144000000000005,25.144000000000005,0.006,0.0
25,7,1,24.204362712587297,25.150000000000006,25.150000000000006,0.006,0.0
26,7,2,26.4466380296987,25.156000000000006,25.156000000000006,0.006,0.0
27,7,3,25.362861488250815,25.162000000000006,25.162000000000006,0.006,0.0
28,7,4,23.969693468385405,25.168000000000006,25.168000000000006,0.006,0.0
29,8,1,25.140102576167262,25.174000000000007,25.174000000000007,0.006,0.0
30,8,2,25.923999054092768,25.180000000000007,25.180000000000007,0.006,0.0
31,8,3,26.44186990696117,25.186000000000007,25.186000000000007,0.006,0.0
32,8,4,26.42138385354543,25.192000000000007,25.192000000000007,0.006,0.0
33,9,1,24.35658004305616,25.198000000000008,25.198000000000008,0.006,0.0
34,9,2,23.7616276684018,25.204000000000008,25.204000000000008,0.006,0.0
35,9,3,26.726222429876394,25.210000000000008,25.210000000000008,0.006,0.0
36,9,4,26.857868539238147,25.216000000000008,25.216000000000008,0.006,0.0
37,10,1,26.37200868564091,25.22200000000001,25.22200000000001,0.006,0.0
38,10,2,25.89252775430414,25.22800000000001,25.22800000000001,0.006,0.0
39,10,3,24.985095334717343,25.23400000000001,25.23400000000001,0.006,0.0
40,10,4,27.565766967871312,25.24000000000001,25.24000000000001,0.006,0.0
41,11,1,27.399522977861842,25.24600000000001,25.24600000000001,0.006,0.0
42,11,2,23.9187193813875,25.25200000000001,25.25200000000001,0.006,0.0
43,11,3,28.608594272866494,25.25800000000001,25.25800000000001,0.006,0.0
44,11,4,25.333053231402076,25.26400000000001,25.26400000000001,0.006,0.0
45,12,1,24.61111953002435,25.27000000000001,25.27000000000001,0.006,0.0
46,12,2,24.479378055477476,25.27600000000001,25.27600000000001,0.006,0.0
47,12,3,22.919765531047062,25.28200000000001,25.28200000000001,0.006,0.0
48,12,4,25.343709913342757,25.28800000000001,25.28800000000001,0.006,0.0
